"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.00597104418484744,-0.000905568597966771,91.7524461593776,0.0590693680975051
"KeyWestFL",0.00617233945327261,-0.00231169947599582,41.6005605171588,0.195179698071765
"PortlandME",0.00860706433584813,-0.00339570084113728,100.95396535157,-0.0212922688766622
"NewportRI",0.00716927164681004,0.000205641852442584,108.614017769438,0.0422496838125851
"DuckPierNC",0.00658186879242513,-0.00110102633216376,132.173236154153,-0.0549632971072064
"CharlestonSC",0.00688173654714318,-0.00106716362067339,69.3183210215597,0.21242734829135
"AtlanticCityNJ",0.00703033969032207,7.59225642164064e-05,112.040094716922,0.05435615987262
"MontaukNY",0.00827951693133183,-0.00136586052632335,159.11890708947,0.0374957523024647
"EastportME",0.00687334708282464,-0.000433706129215243,94.0477139263795,-0.00471705769922519
"BostonMA",0.00840949763775058,-0.00258670178554812,95.3023316328404,0.16531532695895
"WoodsHoleMA",0.00874061695500895,-0.00209483536945167,147.076892640188,0.0130616898587685
"NantucketMA",0.00832070576567267,-0.00231291463143872,94.8766241035322,0.31643375170141
"NewLondonCT",0.0078211418074446,0.000256113604249744,141.897995212769,0.138489439073521
"NewYorkNY",0.00745793360356215,-0.000319841370157704,128.261589886132,0.164964275294999
"CapeMayNJ",0.00717591513702038,-0.000739452158081249,130.993065626098,-0.0339968336932079
"LewesDE",0.006934911482674,0.000169326356793329,138.54098657891,0.0470659384584725
"ChesapeakeBBT",0.00599297952258338,0.000841494385994578,161.703986566068,-0.0157378808505324
"WilmingtonNC",0.00555902614332278,-0.000588553785782881,71.005275925053,0.212420150756794
"FortPulaskiGA",0.00584178441612991,-6.86861166872194e-05,75.4425859589724,0.123689519452851
"MayportFL",0.00661560705622143,-0.00298706587190326,65.4984284125676,0.0174664590881514
"VirginiaKeyFL",0.00540281876057463,-0.00175202621308685,67.407437821971,0.195645850369654
"NaplesFL",0.00755429641424437,-0.000547588653023172,84.6170156621136,0.180461739876348
"StPetersburgFL",0.00705920013013539,0.000839365371868523,81.1511075091546,0.287057603439455
"ApalachicolaFL",0.00683908095265575,-0.000551132829263284,122.353126437451,0.367396945608794
"PanamaCityBeach",0.00680818555150742,-0.000664343325953978,142.107511545645,0.307218018435048
"PensacolaFL",0.00762266444281128,-0.00213650554907277,75.8802026219297,0.394714701039454
"DauphinIslandAL",0.00775682808837302,-0.00368094438454059,95.1098360864002,0.351681269190928
"GrandIsleLA",0.00665012913946451,-0.00215702819191478,108.016693478622,0.323835891947905
"SabinePassNTX",0.00654248180374789,-0.00230775249454464,85.3439229074857,0.293218937715683
"GalvestonPPier",0.00670979852342733,-0.00114004436792162,106.950772625196,0.334405086600906
"RockportTX",0.00624986859053822,-0.00378707739360713,75.1693078061386,0.259187032498324
"CorpusCristiTX",0.00632126880596158,-0.00257347912426028,128.09729235185,0.0911044300698038
"PortIsabelTX",0.00624388192520794,-0.00339565135150301,79.3827132108995,0.155085860658541
"ClearwaterBchFL",0.00710016251060337,0.000250641520298928,126.875946000049,-0.0159524020704824
"PortCanaveralFL",0.00545276189544383,-8.28208143862362e-05,62.8616836265467,0.213249718048877
"GalvestonPier21",0.00674735165408424,-0.00156517428614825,103.296121383235,0.310882322547072
