"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00544398247215338,4.37046252507877,0.258203585826345,0.0423481205059746
"KeyWestFL",0.0049656951345559,3.78384041801642,-0.0668181132094684,0.189182934829802
"PortlandME",0.00663569193686231,4.50163910655498,0.1875945309628,-0.0156305786890727
"NewportRI",0.00706630605661922,4.84070965240423,-0.259836243475214,0.0394180276307987
"DuckPierNC",0.00588467667867779,4.8741323796342,0.0269917073363218,-0.0577403662939297
"CharlestonSC",0.00621448208297423,4.08228328002404,0.305856719660045,0.194922101475293
"AtlanticCityNJ",0.00691047832819079,4.79269381777641,-0.115401209311901,0.0500908872511007
"MontaukNY",0.00727069967008493,5.09252526414932,-0.0295276797582314,0.0341833471727364
"EastportME",0.00650057052229114,4.67446622388811,-0.203255905415039,-0.0160187440576402
"BostonMA",0.00685966273769438,4.49441205302421,0.126068492778912,0.15813566191396
"WoodsHoleMA",0.00731067350989374,4.91813855591724,0.143609468943478,0.00503633148855917
"NantucketMA",0.00684080753297162,4.34177784236733,0.374622553800601,0.302118090542456
"NewLondonCT",0.00764193169854316,4.88915104167913,0.11257334811093,0.138878211744214
"NewYorkNY",0.00707581136949081,4.8014753416345,0.0910294567901671,0.16533370196173
"CapeMayNJ",0.00654401498350379,4.78974574236791,0.157773042223303,-0.0433831592663446
"LewesDE",0.00682423155078388,4.904581769297,0.0516679994500885,0.0450579114872313
"ChesapeakeBBT",0.00623730887398743,5.13833342491853,-0.063628096146546,-0.0258096284604029
"WilmingtonNC",0.00527047290219738,4.17708319297616,0.179412891574963,0.196358230369967
"FortPulaskiGA",0.00576080997548233,4.29096350587816,0.0718721938895371,0.118159872800915
"MayportFL",0.00513377042858296,4.26429256098467,-0.136967118534587,0.0103495198359882
"VirginiaKeyFL",0.00482338606967062,4.19547775977996,0.118274326073508,0.171765088568408
"NaplesFL",0.00695604246261537,4.3120953180952,0.24277657716952,0.165568521202639
"StPetersburgFL",0.00722868505526736,4.36345727970904,0.0695541325769686,0.283275362564201
"ApalachicolaFL",0.00632987823978165,4.82626867858844,-0.01854354376977,0.364922241760668
"PanamaCityBeach",0.00614769672999655,5.07036118728226,-0.146424485891432,0.296168461515573
"PensacolaFL",0.00637330844202404,4.37059820411793,-0.0600826660120088,0.391130693908291
"DauphinIslandAL",0.00583100323737489,4.65932536089412,-0.167439137121043,0.344601387570059
"GrandIsleLA",0.00550556004298817,4.80172323897381,-0.185237449837006,0.314650792064131
"SabinePassNTX",0.00538640061922354,4.44216033259525,0.0317451868152085,0.290035224002143
"GalvestonPPier",0.00602359096924217,4.58328370209361,0.193881724601522,0.326678219974862
"RockportTX",0.00448154822986269,4.35036524575093,-0.0331470944070312,0.255375496814793
"CorpusCristiTX",0.00511735941145345,4.88300033510641,-0.0366055806688795,0.0865657391693538
"PortIsabelTX",0.00463610659105924,4.42072141686912,-0.0760311803128034,0.153095559062988
"ClearwaterBchFL",0.00668576310574942,4.72034065024101,0.199008739040019,-0.0215024235873374
"PortCanaveralFL",0.00542085045176085,4.10021148582655,0.139765421220643,0.192050442443256
"GalvestonPier21",0.00582996205286284,4.5994794110753,0.0708783860303015,0.309489445200234
