"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00544412350785856,91.1557773051729,-0.0969630231287615,0.227566245946053
"KeyWestFL",0.00496561928422025,40.932097093834,0.132240299560635,0.142759471163078
"PortlandME",0.00663571364457473,101.628898300362,0.00298660672083034,-0.0526862652796765
"NewportRI",0.00706643081495678,108.440354985464,0.0846045300889924,-0.0722660253164743
"DuckPierNC",0.00588467129755887,134.305036765787,0.000835830709436992,-0.117736887666057
"CharlestonSC",0.00621434245595723,69.8287455772415,-0.0511317972062462,0.412218480512307
"AtlanticCityNJ",0.00691050139119369,112.701998821617,0.147198871835669,-0.170934072502734
"MontaukNY",0.0072705382718259,162.89584442819,0.1590471171298,-0.26586331550189
"EastportME",0.00650044644960476,96.0311970453805,0.112547573072182,-0.246809281172054
"BostonMA",0.00685966534471626,94.1016069861497,0.101684832640328,0.13321179370756
"WoodsHoleMA",0.00731068268413011,147.291473115513,-0.0834092218780307,0.156073678113902
"NantucketMA",0.00684069849215185,90.9334171388292,0.248390652565493,0.188213819967684
"NewLondonCT",0.00764198883567151,142.336894607381,0.206452910023164,-0.119418863385826
"NewYorkNY",0.00707576598228142,127.65794539273,0.214551265332952,-0.0749716901580861
"CapeMayNJ",0.0065439476129036,129.612895428462,-0.0812729179574878,0.0897276194666993
"LewesDE",0.00682411306343833,138.1832357962,0.0588065711419872,-0.0145298826832336
"ChesapeakeBBT",0.00623724310860866,164.162197808841,0.0683816682868175,-0.174262572208552
"WilmingtonNC",0.00527055161303579,69.6081874166035,0.0757934790645734,0.250552653953014
"FortPulaskiGA",0.00576088826775181,76.1646453164358,-0.0527441041838722,0.26586251772859
"MayportFL",0.00513384291210525,65.4479027460896,0.0914163011962096,-0.151302090649557
"VirginiaKeyFL",0.00482342594541767,62.3606356750428,0.102196819510848,0.255893524163699
"NaplesFL",0.00695615554389553,83.6377531801438,0.0265342906342199,0.263156283194814
"StPetersburgFL",0.00722870135680716,78.8130869288677,0.289660899001998,0.0528158669977993
"ApalachicolaFL",0.00632980250756712,116.919291493928,0.377293672601279,0.0789815584618231
"PanamaCityBeach",0.00614768691200885,134.244940674675,0.377801087442543,-0.013620192056841
"PensacolaFL",0.00637327753090714,74.5675420362538,0.454943837627826,-0.0703351122515895
"DauphinIslandAL",0.00583097725960088,88.9307430827791,0.39804222351171,0.0569538787289554
"GrandIsleLA",0.00550547484674263,104.202664972041,0.389240898856232,-0.045534862629492
"SabinePassNTX",0.00538643502606322,82.0746970074458,0.288207447920368,0.0967443916177362
"GalvestonPPier",0.00602357729034771,102.862969419623,0.20174275296399,0.325338678465512
"RockportTX",0.00448159011392707,72.1767904832589,0.154071672370056,0.266213575427081
"CorpusCristiTX",0.00511725805017976,124.687666366084,0.0776395677389582,0.0777153013653026
"PortIsabelTX",0.00463609681152188,78.1068001521315,0.0982414171001008,0.142952974854274
"ClearwaterBchFL",0.00668581385726745,126.280773543439,-0.0132743477435225,0.00397531464658313
"PortCanaveralFL",0.00542081279592562,57.3429103412218,0.169174209390779,0.196426592348052
"GalvestonPier21",0.00582993233250591,101.41835705044,0.264401859955937,0.119655597627435
