"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00595772467573194,-0.000888174299738025,4.42619834002531,0.173208604590622,0.0482762789017793
"KeyWestFL",0.00618746583460567,-0.00232769112496707,3.73318830883426,0.027627443270739,0.186817424446546
"PortlandME",0.00859492810945111,-0.00337374564514811,4.57277124103436,0.075171170822439,-0.0186172592648095
"NewportRI",0.00716666116445575,0.00020774136234697,4.73772255007285,-0.0877584516581136,0.0413136896313024
"DuckPierNC",0.0065874413775864,-0.00111242043865909,4.75821047924716,0.222305743722701,-0.0551347732401454
"CharlestonSC",0.00688259343220794,-0.0010672527776165,4.14934110221929,0.1850280763772,0.202743254440221
"AtlanticCityNJ",0.00703422392950826,7.3806201693032e-05,4.74212974332935,-0.0360715229919169,0.0520626803491328
"MontaukNY",0.0082826980456208,-0.00137278375531248,5.03313797530326,0.0745245905280705,0.0374548699332367
"EastportME",0.00686965539729558,-0.000423911191229669,4.72692982613788,-0.320095470942784,-0.0160543645564395
"BostonMA",0.00841231689752217,-0.0025896142019347,4.61266562036182,-0.0947713127709474,0.161823222655457
"WoodsHoleMA",0.00873986797518469,-0.00209388282866724,4.80489958810539,0.381176202423875,-0.00699470881842698
"NantucketMA",0.00831301317912903,-0.00230407817172309,4.56393711978717,-0.0107635797538223,0.315029622723085
"NewLondonCT",0.00782621560550398,0.000249240844066833,4.78072236615286,0.312245112629797,0.137675893315887
"NewYorkNY",0.00744890663843459,-0.000307340264422978,4.8129270149787,0.0790895710992576,0.164096015660092
"CapeMayNJ",0.00716926398413331,-0.000729724564084511,4.75928848231877,0.237361385268206,-0.05054985174799
"LewesDE",0.00692373804612485,0.000192148488587921,4.93306887842321,0.00369769276397713,0.0449424430557288
"ChesapeakeBBT",0.00598633256767078,0.00084979290301561,5.10276822248886,-0.0093917226714736,-0.0219107120061871
"WilmingtonNC",0.00555274484801533,-0.000583140101898719,4.38808147555759,-0.217291798917433,0.208198941934282
"FortPulaskiGA",0.00584373164175887,-7.18003400236788e-05,4.31071117249097,0.0365355110146279,0.119954567490895
"MayportFL",0.00660407923540844,-0.00296255151232895,4.26217202543166,-0.134028483796139,0.0110666186595347
"VirginiaKeyFL",0.00540080358050646,-0.00175035988670597,4.16355349928782,0.200427190679891,0.162389729770082
"NaplesFL",0.00754836905876771,-0.000537244082803862,4.30755451562441,0.273407449009828,0.161048058053561
"StPetersburgFL",0.00706052591113728,0.000835890908556209,4.43552450348106,-0.0554616660521896,0.283074884345627
"ApalachicolaFL",0.00683308586890164,-0.000543748170213614,4.92062602609489,-0.183706260606854,0.357525462630964
"PanamaCityBeach",0.00680869304422078,-0.000663471915369597,5.05242749675984,-0.136228947202053,0.296446109374501
"PensacolaFL",0.00763398613981564,-0.00215197283957542,4.41396785052021,-0.145555395122773,0.390482243951338
"DauphinIslandAL",0.00776002894853497,-0.0036838588941146,4.61822747408505,-0.106055988280292,0.346433873641482
"GrandIsleLA",0.00665555898830932,-0.0021627298811547,4.76627444541909,-0.13565403430384,0.317204116834281
"SabinePassNTX",0.00654166545717321,-0.00230820651424045,4.39634596096236,0.123073211184169,0.288554421766546
"GalvestonPPier",0.00670122613088123,-0.00112713343268742,4.58327692134093,0.192778683376829,0.327225477666975
"RockportTX",0.00624542590772161,-0.00377977371833794,4.34068788390595,-0.0145900945681322,0.254457985639137
"CorpusCristiTX",0.00632138711355525,-0.00256824624944412,4.87896160147179,-0.0315871314199503,0.0868405396545406
"PortIsabelTX",0.00624332505625895,-0.0033944345277953,4.43493584119984,-0.108283778464718,0.153924770510479
"ClearwaterBchFL",0.00709024687492529,0.000258092260817672,4.78381220503184,0.119689406856311,-0.0197408215712594
"PortCanaveralFL",0.00545135195438066,-8.15848560370475e-05,4.15738575032541,0.0524925801950478,0.195318312427477
"GalvestonPier21",0.0067533957326487,-0.00157552434427918,4.61477980172221,0.0464279733089496,0.309776737795117
