"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00597057937208689,-0.000905441683193834,91.1642717492464,-0.0884167902359754,0.227824379802727
"KeyWestFL",0.006171552995551,-0.00231070789541725,40.888871386779,0.12034841095068,0.167050331371767
"PortlandME",0.00860780310204812,-0.00339570387103353,104.125041743818,0.0679188316498217,-0.226203821076133
"NewportRI",0.00716897598508965,0.000206667755380338,108.182353108967,0.0306192334705903,0.0289234986375869
"DuckPierNC",0.00658041205612902,-0.00109955073714425,133.317488803275,-0.0296111134937934,-0.0558355901709816
"CharlestonSC",0.00688230213505662,-0.00106825746802029,69.9250535625589,-0.0207903234125273,0.37931108297183
"AtlanticCityNJ",0.00703105161577144,7.42739291961094e-05,112.197958775149,0.105425461842413,-0.0933471674791816
"MontaukNY",0.00828172065003203,-0.00136914857876285,160.505885021383,0.103627434733748,-0.143557328898153
"EastportME",0.00687125161350257,-0.000432190100311687,94.5177045433497,0.105848847750987,-0.227075695721094
"BostonMA",0.00841026031048784,-0.0025874413971063,95.3040354588346,0.233533109148543,-0.131603321913781
"WoodsHoleMA",0.00874065358316223,-0.00209397186606247,147.827983756628,-0.115925391195204,0.210433397988827
"NantucketMA",0.00832103923317478,-0.00231342090645412,92.8527767086187,0.310629730803968,0.0687041199691295
"NewLondonCT",0.00782024524499842,0.000257321106257503,140.645386450473,0.139487962284199,0.016099688005898
"NewYorkNY",0.00745874926239967,-0.000321006729012212,127.401475037523,0.144322521943808,0.0528854948350511
"CapeMayNJ",0.00717764495781478,-0.000742427652718576,129.347973474062,-0.115777265728876,0.154465508762001
"LewesDE",0.00693555041214117,0.000168020607516586,138.279023528631,0.0631051278136776,-0.0242569870486955
"ChesapeakeBBT",0.00599266910742039,0.000841470481582689,163.806765095603,0.0571025305875717,-0.153103174447755
"WilmingtonNC",0.00555860062971267,-0.000588484243843077,69.941387624141,0.222397815094716,0.014984374239786
"FortPulaskiGA",0.0058428167287269,-7.08804342847473e-05,76.0668901423888,-0.0331986942348812,0.252458075055347
"MayportFL",0.0066145870394812,-0.00298594444788255,65.4404511004235,0.0914941218195808,-0.151335037751886
"VirginiaKeyFL",0.00540338487310264,-0.00175256652245793,62.2551538461544,0.0914974649655049,0.278456546394872
"NaplesFL",0.0075543410048504,-0.000548207888968528,83.8944434464484,-0.00560114337424818,0.321179882175177
"StPetersburgFL",0.00705956155753753,0.000839442182097563,79.1265776183395,0.303737377670735,0.022337940094167
"ApalachicolaFL",0.00683836791121921,-0.000550406887511478,118.457332584797,0.444549150412555,-0.0786905177540036
"PanamaCityBeach",0.00680855413700276,-0.000664762842120612,134.603771790259,0.381278713619789,-0.0298062217871522
"PensacolaFL",0.00762312115241234,-0.00213783550396303,74.364141670566,0.441944683394589,-0.041986134784756
"DauphinIslandAL",0.00775634384085992,-0.00367995663917675,88.7792559359584,0.380750379066204,0.106798131904834
"GrandIsleLA",0.00664944101762164,-0.00215560962576754,103.670271701436,0.371061565311667,0.00394824997482431
"SabinePassNTX",0.00654228548118393,-0.00230774588079682,81.7156012848696,0.268899408352847,0.144141547282111
"GalvestonPPier",0.00671015971771529,-0.00114123898542039,102.870199488849,0.201701448503557,0.325325098615195
"RockportTX",0.00624979315167101,-0.00378702404923082,72.7754020355892,0.132391791581798,0.306603524256245
"CorpusCristiTX",0.0063208278791533,-0.00257338551485347,124.270473314026,0.0596781609993739,0.118070195758631
"PortIsabelTX",0.00624397070721811,-0.00339494675331356,78.1583936089018,0.0838898102482353,0.171213899907214
"ClearwaterBchFL",0.00710049433324466,0.000249342552229728,128.035218483975,0.0159835113190496,-0.070741252644488
"PortCanaveralFL",0.00545297400546414,-8.22829020782321e-05,58.0510336746583,0.14799728339058,0.233042658705121
"GalvestonPier21",0.00674642250530883,-0.00156408398071261,101.268753057654,0.211228118467593,0.218332064036909
