"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00544422707827206,4.39781617499651,0.20773545147409,-0.136783387995881,0.290325822944972
"KeyWestFL",0.00496505405835145,3.71146672262977,0.0113284427255236,0.109037305017246,0.192119938462424
"PortlandME",0.0066349955509157,4.36102412407536,0.543989420101613,0.250337364048967,-0.592167871118208
"NewportRI",0.00707199962670096,4.80800357719113,-0.235757911841498,-0.0108850126472038,0.114660434040875
"DuckPierNC",0.00588444132002535,4.5576725778087,0.607414840637834,0.110912845494401,-0.332720192137313
"CharlestonSC",0.00621589557053811,4.22279029344747,0.061182254777696,-0.0890287081269448,0.493643953926622
"AtlanticCityNJ",0.00691117975297425,4.68488005354985,0.0610892804084785,0.154761744374312,-0.175344452468829
"MontaukNY",0.00726980046847617,4.87207266011838,0.401905713366405,0.235167367452675,-0.407815334486949
"EastportME",0.00650437532736609,4.76965759706061,-0.400927065156611,0.0613176345172839,-0.139850103815927
"BostonMA",0.00685951601740921,4.55823385431244,-0.00783264279057266,0.30289560474432,-0.251678525908025
"WoodsHoleMA",0.00731088112221985,4.68330857665585,0.612416917915147,-0.0226389377617455,0.0259244885611906
"NantucketMA",0.00683977442924976,4.53254833772137,-0.0141550240667936,0.372429498901937,-0.0230641025228963
"NewLondonCT",0.00764536692568456,4.53034512713578,0.75752679142871,0.334934193825119,-0.357205782609731
"NewYorkNY",0.00707715145321636,4.75627445991017,0.156938928196708,0.202124527292342,-0.0404461213618567
"CapeMayNJ",0.00654595401708865,4.67993515236488,0.370335680698053,-0.0915204347424835,0.0776135076926172
"LewesDE",0.00682478104233416,4.90104656631696,0.0528797231747655,0.087405686241343,-0.066394134889891
"ChesapeakeBBT",0.00623841251388617,4.94018449000999,0.269152269166051,0.174635561473726,-0.347866186235327
"WilmingtonNC",0.00527164117141765,4.47254876078457,-0.430916183071637,0.20142097397681,0.0745364635242103
"FortPulaskiGA",0.00576299986653878,4.43266587252109,-0.17774345056038,-0.105017786919477,0.377052524733627
"MayportFL",0.00513555836930784,4.26116352344344,-0.157013918218214,0.158526316706196,-0.27333813183413
"VirginiaKeyFL",0.00482275994813549,3.98322749621507,0.338938056209823,0.0405650044708936,0.358629106719625
"NaplesFL",0.00695713427482327,4.2727702055235,0.307836481277808,-0.0168388086772675,0.333726494709408
"StPetersburgFL",0.00722848827584532,4.39565385690318,-0.0621992202975966,0.360716315239949,-0.0512452278579808
"ApalachicolaFL",0.00633112249182509,4.91320909398616,-0.276838120461577,0.546099599465857,-0.221921867903946
"PanamaCityBeach",0.00614903887586163,5.04693039448566,-0.29680235622278,0.491546760308278,-0.17671546483805
"PensacolaFL",0.00637532646764176,4.39507162592881,-0.176274388356487,0.523731829142164,-0.168304322094055
"DauphinIslandAL",0.00583216088820826,4.55889187464573,-0.249592637118356,0.453333202538309,0.0841432829845455
"GrandIsleLA",0.00550613229039808,4.76851618756574,-0.25544256469479,0.511283935135245,-0.238236742198799
"SabinePassNTX",0.00538766932874075,4.25513680744555,0.284421879385068,0.32943643194566,0.0561435594588126
"GalvestonPPier",0.0060253689498985,4.47568354080208,0.300657521000832,0.151881921783584,0.445142279490049
"RockportTX",0.00448147719309576,4.37841277533778,-0.212708984204126,0.026411835565451,0.551092453011899
"CorpusCristiTX",0.00511764188169385,4.9067809039937,-0.204105075245737,0.0321901155491329,0.218897835398783
"PortIsabelTX",0.0046349571584183,4.54149843356408,-0.390092008839696,0.0190470554669772,0.32422129726363
"ClearwaterBchFL",0.00668768272749551,4.64481986581928,0.404668977096864,0.133500341261293,-0.317447321204546
"PortCanaveralFL",0.00542150008612686,4.02124302353612,0.0583524662401049,0.11888335791496,0.337318398821007
"GalvestonPier21",0.00582982514933474,4.61334627363629,-0.00306858225421605,0.198642023356115,0.259789564063475
