"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00598142910510224,-0.000911301001900802,4.39614787377854,0.21440723399698,-0.126825224802812,0.277229515003337
"KeyWestFL",0.00610464527969966,-0.00222507163616766,3.71469797401905,0.00469190756387314,0.102868140287422,0.208598107690089
"PortlandME",0.00860571513809952,-0.00342755258805328,4.34433560504278,0.571843285749018,0.270532411530697,-0.616965692338231
"NewportRI",0.00712855410808179,0.000273116057085637,4.78932033986935,-0.20548274414791,0.0018142394743171,0.093193019457959
"DuckPierNC",0.00659436115602809,-0.00117023711863522,4.54926452829487,0.630593943202043,0.121718506540377,-0.346257581273239
"CharlestonSC",0.00690453893071477,-0.00113006637171511,4.21324079899831,0.0856103532759453,-0.0839697407351026,0.474955557603073
"AtlanticCityNJ",0.00708090644748961,5.00286804778428e-05,4.6652975301605,0.0869003958575867,0.166347302540952,-0.185866672521811
"MontaukNY",0.00822378741874018,-0.0013141988985645,4.86511766096528,0.408853842167182,0.23350931699028,-0.404481587869649
"EastportME",0.00690736517341615,-0.000486091639127903,4.76213997454385,-0.377787757346176,0.0667486136406577,-0.151671022856445
"BostonMA",0.00842143827799564,-0.00257597217132773,4.56923319303078,-0.0238736985595106,0.296194262478163,-0.242518987882809
"WoodsHoleMA",0.00875024804060105,-0.00206670449293817,4.68303585270671,0.609993391282578,-0.0215204215982814,0.023103026916419
"NantucketMA",0.0083274797685734,-0.00235060780140255,4.53290835690355,-0.0106448273597644,0.373207873929627,-0.0285071584617862
"NewLondonCT",0.00779987902264425,0.000296164506183848,4.53201998111883,0.757500575193172,0.332601466762388,-0.358050816731661
"NewYorkNY",0.00737698861034544,-0.000189637667849355,4.74944846286409,0.174363027742623,0.204115434579548,-0.0497369135425336
"CapeMayNJ",0.00718739478953319,-0.000771493399699905,4.66418930945719,0.401300091634285,-0.0784292673493983,0.0532771916672029
"LewesDE",0.00692120974113858,0.000177509235008597,4.86881425245469,0.0996885121562103,0.107447971023842,-0.0962477163736989
"ChesapeakeBBT",0.00606969395486798,0.000787314377678211,4.9253557880585,0.293113312542905,0.178803428035884,-0.358718955321871
"WilmingtonNC",0.00556332012292503,-0.000592633882314221,4.46703884594762,-0.413328063940459,0.206296944990441,0.0674583097709751
"FortPulaskiGA",0.00582997127083838,-4.32400417256486e-05,4.43616007141524,-0.172658440860909,-0.106332019483611,0.375683091072618
"MayportFL",0.00662085509694936,-0.0030097558798236,4.25966453274741,-0.149999441138614,0.151031556003318,-0.257868173961389
"VirginiaKeyFL",0.00541743338436328,-0.00177507523169474,3.97287401469895,0.349673255385447,0.0514392207940283,0.351876240577969
"NaplesFL",0.00754194679209997,-0.000565798789784363,4.27324018295437,0.313977778354089,-0.0166266766192442,0.322854277022099
"StPetersburgFL",0.00704211099364895,0.000849255306319758,4.38375954526455,-0.0399813211693595,0.370818960548227,-0.0706599314963749
"ApalachicolaFL",0.00683881886980257,-0.000541469385011597,4.90439384931621,-0.258195785369502,0.539777154034535,-0.216506550407145
"PanamaCityBeach",0.00682190459089444,-0.000689733657821303,5.04526917550299,-0.285418804137041,0.491677649304052,-0.181191869512926
"PensacolaFL",0.00763576565781661,-0.00216477318194335,4.38905897512598,-0.172133481109553,0.521867456599767,-0.157474990435625
"DauphinIslandAL",0.00777308691049821,-0.00372001671489867,4.55468430376946,-0.236699965339437,0.44928141336205,0.0833057176248029
"GrandIsleLA",0.00668106930721908,-0.00221726947950876,4.76159479891849,-0.245040444013007,0.498794976651166,-0.214944749674785
"SabinePassNTX",0.00653547312441323,-0.00228319126943837,4.24496347834401,0.300690626395287,0.328852126654746,0.0620353702566823
"GalvestonPPier",0.00669606892256941,-0.00116753281226387,4.48297583386838,0.293691670824202,0.158897441288105,0.426181545314837
"RockportTX",0.0062592043796362,-0.00380076778476585,4.36347816908794,-0.19414239025251,0.0305912221013404,0.547512788724446
"CorpusCristiTX",0.00635641943342947,-0.00262662930457438,4.89330685671453,-0.183390923451999,0.0376636280755098,0.214198642976297
"PortIsabelTX",0.00623862879499665,-0.00340306936542759,4.50253049009872,-0.325501754986119,0.020969644155829,0.327148191877498
"ClearwaterBchFL",0.00708619649927131,0.000237461685386831,4.63682232374919,0.414893675804831,0.140386920625967,-0.327918732215065
"PortCanaveralFL",0.00545787120069612,-8.34973810508412e-05,4.01499538652183,0.0657771807388269,0.12266455900575,0.334786309773959
"GalvestonPier21",0.00672277304464198,-0.00151966476806259,4.61782669394837,0.00122009154382641,0.197059117146204,0.254099935793901
