"","lambda","sigma","xi"
"FernandinaBeach",0.00544411629286016,91.7531209058097,0.0590649344310513
"KeyWestFL",0.00496562270114401,41.600595266196,0.195180827642231
"PortlandME",0.0066357085700898,100.954926276442,-0.0213013752406385
"NewportRI",0.00706642459478985,108.613295135467,0.0422535874518635
"DuckPierNC",0.00588465343652778,132.173344056727,-0.0549627625471754
"CharlestonSC",0.00621435071815368,69.3182010439361,0.212425843059485
"AtlanticCityNJ",0.00691049325752221,112.039762762311,0.0543595943835829
"MontaukNY",0.00727054411474167,159.118615069721,0.0374978419650946
"EastportME",0.00650043400715139,94.0478491049388,-0.0047170445949966
"BostonMA",0.00685966090048208,95.3023929312841,0.165314290054047
"WoodsHoleMA",0.00731069134844728,147.076817679142,0.0130618312731857
"NantucketMA",0.00684070096285519,94.8766045216457,0.316436227553939
"NewLondonCT",0.00764198365206465,141.897263965956,0.13849092415897
"NewYorkNY",0.0070757700648178,128.261483515654,0.164964329844763
"CapeMayNJ",0.00654394827684196,130.993047802517,-0.0339976641328696
"LewesDE",0.0068241252491722,138.540637201152,0.0470678352840418
"ChesapeakeBBT",0.0062372448744698,161.704258005875,-0.0157383155531689
"WilmingtonNC",0.00527055456616988,71.005795832933,0.212416768187655
"FortPulaskiGA",0.00576088284940001,75.4425482078335,0.123689345430141
"MayportFL",0.00513387132748868,65.4982296187457,0.017465395923314
"VirginiaKeyFL",0.00482342991189476,67.4073279310837,0.195647006836764
"NaplesFL",0.00695614959028425,84.6170427071686,0.180459320509647
"StPetersburgFL",0.00722869834555428,81.1509474891406,0.287061009278236
"ApalachicolaFL",0.00632980016669078,122.352822182473,0.367397734248295
"PanamaCityBeach",0.00614767993691726,142.107555390306,0.307219080322626
"PensacolaFL",0.00637328892965979,75.8805414829539,0.394710035128393
"DauphinIslandAL",0.00583097115643427,95.1104956413936,0.351680484383919
"GrandIsleLA",0.00550546957785947,108.016822677486,0.323835048379694
"SabinePassNTX",0.00538642991928574,85.3438087926745,0.2932195382808
"GalvestonPPier",0.00602358049415265,106.950459592934,0.334406241360133
"RockportTX",0.00448158983384366,75.1687484691361,0.259193496993183
"CorpusCristiTX",0.00511725220064682,128.097467001377,0.0911026589504386
"PortIsabelTX",0.00463611086385662,79.3830801813778,0.155085401873055
"ClearwaterBchFL",0.00668580089382131,126.875629386136,-0.0159479563785112
"PortCanaveralFL",0.00542080893052115,62.8619053461119,0.213248660139989
"GalvestonPier21",0.0058299304926938,103.296299930423,0.310880242221722
