"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.0048693527284294,0.001059391250402,91.752584050641,0.059066026264481
"KeyWestFL",0.00404195192870733,0.00177207580421924,41.6005671689322,0.195183669030627
"PortlandME",0.00451810986818216,0.00460158132938512,100.955175833348,-0.0213014130852652
"NewportRI",0.00592890195670078,0.00229713458452125,108.613087977203,0.0422554173664636
"DuckPierNC",0.00450154016858344,0.00195138068084131,132.17294343306,-0.0549606641136029
"CharlestonSC",0.00483094618008511,0.00286421990462,69.318150426166,0.212424475682766
"AtlanticCityNJ",0.0059521514118748,0.00218563923383199,112.039838494573,0.0543570873634223
"MontaukNY",0.00666678371259445,0.00124599826166811,159.118541557491,0.0374968710356166
"EastportME",0.00423331092621396,0.00433316081376163,94.0477515969396,-0.00471788054228193
"BostonMA",0.00554093673614415,0.00278172298175233,95.3022423548281,0.165309922544959
"WoodsHoleMA",0.00675505451003081,0.00112180741142245,147.076846836476,0.0130597835089348
"NantucketMA",0.00517353149675898,0.00272609661139911,94.8769089533946,0.31643399038431
"NewLondonCT",0.00653459235106202,0.00226032037080453,141.897325869954,0.13848963704389
"NewYorkNY",0.00478474781492077,0.00470589161779307,128.26142779935,0.164965698297757
"CapeMayNJ",0.00531032524675509,0.00197448861449815,130.992301960111,-0.0339936685844399
"LewesDE",0.00599824912287549,0.00160116750264826,138.540917884667,0.0470661454687492
"ChesapeakeBBT",0.0047101487637902,0.00235473897143384,161.704807001231,-0.0157402861400808
"WilmingtonNC",0.00216924961025131,0.00538141413581132,71.0063361558138,0.212414271555292
"FortPulaskiGA",0.00518281740117476,0.000976263627170239,75.4425237883293,0.123690653270084
"MayportFL",0.00539127977314502,-0.00101266643971236,65.4982657367569,0.0174642045138214
"VirginiaKeyFL",0.00449834230826655,-0.000135686467616911,67.4075093306515,0.195647816426247
"NaplesFL",0.00551661443327949,0.0024167283012367,84.6168625225608,0.180459929042763
"StPetersburgFL",0.00540206280654966,0.00327045628375296,81.1509680721423,0.287060355973312
"ApalachicolaFL",0.00493575814801459,0.00210484700738949,122.353194233702,0.367395002972404
"PanamaCityBeach",0.0049111972412354,0.00185566154725093,142.107879095494,0.307217117387706
"PensacolaFL",0.00514602518992886,0.00250242614370401,75.8804143118137,0.394711429924002
"DauphinIslandAL",0.00460615064706111,0.00168707276869985,95.1101884726492,0.351681433569277
"GrandIsleLA",0.0045463395084339,0.00120921019497827,108.017525761589,0.323831860843935
"SabinePassNTX",0.00446390349827456,0.0010758665197108,85.34488151634,0.293218551567296
"GalvestonPPier",0.00522118540045575,0.0013838216945377,106.950303394671,0.334407649662904
"RockportTX",0.00369739905504137,0.000954944819080718,75.1683066947193,0.259193729360094
"CorpusCristiTX",0.0046381084635393,0.000328930155010146,128.097744487504,0.0911038804259199
"PortIsabelTX",0.00481592626505403,-0.000678293393430975,79.3833221201078,0.15508201546337
"ClearwaterBchFL",0.00492870774026137,0.00266848339141124,126.87614043336,-0.015950690516419
"PortCanaveralFL",0.00434921327203299,0.0012041651647492,62.8615493590527,0.213250338669638
"GalvestonPier21",0.00492320042394454,0.00202078414289764,103.296249792613,0.31087827107271
