"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00544399488719674,4.54932829503702,-0.0579012977799828,0.0601220825057819
"KeyWestFL",0.00496561010966804,3.67282193695313,0.149620501388646,0.181897853202831
"PortlandME",0.006635831375171,4.65136415669581,-0.0605243066402386,-0.0239857912093658
"NewportRI",0.00706638283078484,4.70881007825676,-0.0343005731459929,0.0421734252917802
"DuckPierNC",0.00588457280800721,4.86040890684606,0.0399201791117582,-0.0588995699400166
"CharlestonSC",0.00621452040435565,4.12868568963966,0.216635896403989,0.20567949899278
"AtlanticCityNJ",0.00691070094686617,4.67906188081526,0.0840428901076792,0.0522245007236143
"MontaukNY",0.00727057832205275,5.12289782896563,-0.0740920519518142,0.0321939346253854
"EastportME",0.00650048473413513,4.36710533976297,0.268624632890682,0.00127459638288013
"BostonMA",0.00685964768738273,4.51667736326776,0.090902020103148,0.157576157902865
"WoodsHoleMA",0.00731057192107969,5.07957802409462,-0.126672877863925,0.00880232268080469
"NantucketMA",0.00684067435487039,4.23800819789132,0.446566665269442,0.296640175764269
"NewLondonCT",0.00764202797885267,5.14901551850939,-0.308002129094331,0.123434770799338
"NewYorkNY",0.00707584548673594,4.96085230041885,-0.179016946652697,0.162758165504794
"CapeMayNJ",0.00654395170094903,4.85994703141623,0.0292560119116699,-0.0371864911633338
"LewesDE",0.00682409256107154,4.79072584704916,0.246416925272179,0.0385738826641978
"ChesapeakeBBT",0.00623730964630219,4.90537818357692,0.271671907442236,-0.0405588671213501
"WilmingtonNC",0.00527047219573516,4.00688447231458,0.368747292169549,0.196427097411598
"FortPulaskiGA",0.00576084776419797,4.16703259628796,0.301877947487157,0.102171126059807
"MayportFL",0.0051339260073927,4.20624920856012,-0.0359166233817425,0.0130457470052001
"VirginiaKeyFL",0.00482362522711936,4.1320721325169,0.152653126341503,0.170998351314588
"NaplesFL",0.00695629609482111,4.25125447103102,0.284790674196184,0.163128591880136
"StPetersburgFL",0.00722871503601504,4.27834166960999,0.191158078119142,0.281479729554951
"ApalachicolaFL",0.00632973776147711,4.60067416023968,0.284047819445039,0.357042491391669
"PanamaCityBeach",0.00614778967987597,4.93467888979163,0.0521404008330904,0.300773950850793
"PensacolaFL",0.00637331305837979,4.14180413436285,0.358985991620341,0.382017117862949
"DauphinIslandAL",0.00583101643301337,4.44511286659924,0.160459070787895,0.341964285947032
"GrandIsleLA",0.00550544010627493,4.56729378413822,0.167014102248604,0.315230774231974
"SabinePassNTX",0.00538639467761712,4.47829678476666,-0.0264222777955668,0.29108407997483
"GalvestonPPier",0.00602357744569154,4.54321762726344,0.225903152427053,0.32844103043626
"RockportTX",0.00448157391261786,4.2986570627734,0.0499354522749389,0.254943989104693
"CorpusCristiTX",0.00511729139966265,4.75946122423328,0.134448037980755,0.0848988800377563
"PortIsabelTX",0.00463610125700378,4.25705414809636,0.215379886829597,0.146019872842472
"ClearwaterBchFL",0.00668585077362421,4.78300995967161,0.079038786209409,-0.0215452114979522
"PortCanaveralFL",0.00542085454238183,4.12316580446787,0.0643314002477795,0.197750677326188
"GalvestonPier21",0.0058298851880775,4.55774635078782,0.159221573617322,0.314207103725621
