"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00544412113010181,92.4336432233869,0.0166489618674818,0.0719726207010952
"KeyWestFL",0.00496562266986452,41.6511833962759,0.0638068976210584,0.232552851043694
"PortlandME",0.00663571951796768,101.339357621127,-0.006920177491201,-0.033972625235916
"NewportRI",0.00706642901544988,109.453211074747,-0.0760687342184007,0.187745543393208
"DuckPierNC",0.0058846517853421,132.529533085858,-0.0828606277480476,0.0321681778562629
"CharlestonSC",0.00621436207457427,69.0336136174956,0.132437090900097,0.150517742436383
"AtlanticCityNJ",0.00691048955766293,112.155019710374,0.00552830901751962,0.0926135603881987
"MontaukNY",0.00727056158830676,161.351669522132,0.09387780355181,-0.124340473181332
"EastportME",0.00650041987646385,94.7411806061968,0.0135886078587156,-0.039968557069453
"BostonMA",0.00685965227073921,95.2660147832308,0.0295001555765333,0.240546692033404
"WoodsHoleMA",0.00731069548309895,147.737270914647,0.0207414792850389,-0.0189734089626584
"NantucketMA",0.0068407034736486,91.315074177835,0.085823911188409,0.340958948770843
"NewLondonCT",0.00764198226731695,143.385829591244,0.18382202696584,-0.10673087515776
"NewYorkNY",0.00707577370877265,129.391445569868,0.110597455337981,0.0830214429940021
"CapeMayNJ",0.00654394057048295,132.673952383742,-0.0201472201764205,-0.0369404695618636
"LewesDE",0.00682411020566914,137.809540862929,-0.0294526113579769,0.13002435066442
"ChesapeakeBBT",0.00623723153401386,160.278832534602,-0.140026433565793,0.159708158370903
"WilmingtonNC",0.00527054675621701,69.3387557525445,0.101323677722933,0.17700251925275
"FortPulaskiGA",0.00576087824089069,75.7970380133392,-0.0117271605333301,0.200532799803078
"MayportFL",0.00513387707352985,65.759363238352,0.0218144527060967,-0.0219080318277233
"VirginiaKeyFL",0.0048234293300223,63.0882538935873,0.027126114128213,0.246837426708966
"NaplesFL",0.00695615119567957,83.8886632322225,-8.94111838122746e-05,0.246792906720454
"StPetersburgFL",0.00722869897961869,79.3154051149704,0.191221792261421,0.181985313952523
"ApalachicolaFL",0.00632979599753655,116.722217678569,0.179642670970587,0.302218658945505
"PanamaCityBeach",0.00614767892885925,132.962092813106,0.179385245476895,0.247451383282862
"PensacolaFL",0.00637329586473824,74.1298498987393,0.2959013542787,0.21712124836973
"DauphinIslandAL",0.00583096168598771,87.9060702927378,0.169393644765563,0.317506956778381
"GrandIsleLA",0.00550546100652536,102.341288774732,0.132780936239886,0.306197286052352
"SabinePassNTX",0.00538642781973417,84.1247550605405,0.127766078751349,0.237982349108603
"GalvestonPPier",0.00602357427805787,104.591359604175,0.183968252594609,0.279251278338722
"RockportTX",0.00448158284222474,73.4996896049783,0.199373367072333,0.130768542027394
"CorpusCristiTX",0.00511724185320835,126.158007781285,0.0270702425557445,0.101747480793966
"PortIsabelTX",0.00463610385165372,77.9552471535477,0.0622280163248624,0.176566636716076
"ClearwaterBchFL",0.00668581215799051,127.057957032629,-0.0386816408995605,0.024435330905072
"PortCanaveralFL",0.00542079670457159,58.8376573834328,0.0766155125046562,0.218534498737358
"GalvestonPier21",0.0058299240376383,103.34236496179,0.305400462676529,0.0108568646436475
