"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.0048685779091646,0.00105875105638077,4.54906244469672,-0.0568714916233542,0.0602026204215855
"KeyWestFL",0.00404114268957338,0.0017789072117147,3.67239936953607,0.148021721136792,0.182172410335336
"PortlandME",0.00451185527295492,0.00461694949250013,4.65170615311649,-0.0602299127816114,-0.0250045251763163
"NewportRI",0.0059283740614107,0.00229970276250279,4.70860095999734,-0.034501123478625,0.0424991096933289
"DuckPierNC",0.0045038319950906,0.0019465776473126,4.85894610831323,0.0411971305575103,-0.0589398948677985
"CharlestonSC",0.0048274830317736,0.00286698727382528,4.12874940746452,0.217156380457179,0.205510902459961
"AtlanticCityNJ",0.00594543722120972,0.00219537602456227,4.67976501026226,0.0826176909797414,0.0523692222132888
"MontaukNY",0.00665353251946774,0.00126307403619057,5.12255899792686,-0.0747718146539221,0.0320439185579072
"EastportME",0.00424350056324048,0.00433140306256215,4.36541946255475,0.269766506929312,0.00196825345149582
"BostonMA",0.00553861872648253,0.00279142973936542,4.51617747762871,0.0925654611872691,0.157112840588674
"WoodsHoleMA",0.00674475909752036,0.00113482624447607,5.07974456933929,-0.126220406580006,0.00871780955820503
"NantucketMA",0.0051753562986838,0.00272957077588626,4.23827641289199,0.445748779576968,0.296551534994718
"NewLondonCT",0.00653050193796473,0.00226914059105226,5.14700157732031,-0.305376829180347,0.123979426940819
"NewYorkNY",0.0047834963317054,0.00470583888062618,4.96080435963305,-0.17901609747789,0.162752756600031
"CapeMayNJ",0.00531144664531862,0.00197553102804125,4.85951478731604,0.0306143119304062,-0.0375870124548799
"LewesDE",0.00600061006776853,0.00159702575245485,4.79021421021488,0.247421807124834,0.0391604780596797
"ChesapeakeBBT",0.00470460688668372,0.00236241319944196,4.90548926884911,0.271509823479556,-0.0403199333827886
"WilmingtonNC",0.00217241433066326,0.00537795209864303,4.00611453270777,0.369794824844654,0.195852486666758
"FortPulaskiGA",0.00518580381650172,0.000975569022627851,4.16705817260954,0.302005208563051,0.10180568734423
"MayportFL",0.00539333300220357,-0.00101725914003527,4.20588407376088,-0.0354689133214956,0.0133227762723701
"VirginiaKeyFL",0.00449945199640844,-0.000138652214165165,4.13193060367447,0.151922415862442,0.171593057790536
"NaplesFL",0.00552220031804523,0.00241528969052906,4.25248270664864,0.283211506218197,0.16283546059464
"StPetersburgFL",0.00540412229329662,0.00327847507746044,4.27933857998228,0.190262509351778,0.28101058415979
"ApalachicolaFL",0.00493412549237067,0.00211028290126555,4.60111754921737,0.284167714643885,0.356887535143441
"PanamaCityBeach",0.00491370622380796,0.00185148627083545,4.93606347541114,0.0519269111985065,0.299558753806967
"PensacolaFL",0.00514639536003716,0.00250157819107136,4.14086544017682,0.360194573584009,0.382206699076287
"DauphinIslandAL",0.00460703574715054,0.00168754328224261,4.44620836660818,0.160437116009045,0.341430831617686
"GrandIsleLA",0.00453726347936491,0.00122674582918629,4.56904906537637,0.166189932785767,0.314872200753912
"SabinePassNTX",0.00446018071263996,0.00108052255158861,4.47827846818416,-0.0257772409079201,0.29091581984275
"GalvestonPPier",0.00521505096623137,0.00139174132741126,4.54452601141933,0.224844559126924,0.327946854076538
"RockportTX",0.0036953499190247,0.0009531159569409,4.29816155299256,0.0494309012995548,0.255152653283835
"CorpusCristiTX",0.00463766190343753,0.00032910340454154,4.75957316345027,0.134910378551941,0.0847293201863064
"PortIsabelTX",0.00481997660342174,-0.000687208414889788,4.25848226367283,0.214422028032441,0.145525208963828
"ClearwaterBchFL",0.00492770335056028,0.00267062150710352,4.78436056972857,0.0778953777072041,-0.0216174179884927
"PortCanaveralFL",0.00434290239509861,0.0012082322808404,4.12240638592271,0.0643665273045095,0.19727798394771
"GalvestonPier21",0.0049195997594071,0.00203046895145032,4.55652307419606,0.160853735213683,0.314057559643833
