"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00486928269834289,0.00105852957493008,92.4294284034545,0.0166936994164565,0.0719262519873876
"KeyWestFL",0.00404215781416854,0.00177208242830517,41.658593843448,0.0636300273171143,0.232821484428629
"PortlandME",0.00451812941589275,0.00460193961550008,101.323051937157,-0.0069765084203326,-0.033781859527412
"NewportRI",0.00592845346771581,0.00229957730652127,109.460493727086,-0.0760430412892735,0.187683090724077
"DuckPierNC",0.00450180628803317,0.00195157330357571,132.528385708442,-0.0828999499520601,0.0321095844852264
"CharlestonSC",0.00482978935094161,0.00286610540201351,69.041184307171,0.132438862750373,0.150342544031754
"AtlanticCityNJ",0.00595178864458058,0.00218543206350452,112.15831685507,0.00543051194365995,0.0925483824145356
"MontaukNY",0.00666699756583409,0.00124657985926713,161.378120333996,0.0938373855608739,-0.124460142701469
"EastportME",0.00423376202744246,0.0043328210781303,94.7395368964234,0.0135812703908283,-0.0400660625683062
"BostonMA",0.00554100051754734,0.0027810189014472,95.2704205712096,0.0294519361881851,0.240467157958665
"WoodsHoleMA",0.00675541320082467,0.00112141198237247,147.763871945445,0.0207889883674878,-0.0191400720183178
"NantucketMA",0.00517402209278342,0.00272533901408093,91.3315480738179,0.0857627173132226,0.340914274368653
"NewLondonCT",0.00653376298454071,0.00226135208000525,143.37184852385,0.183811412809676,-0.106515633334468
"NewYorkNY",0.00478521875933443,0.00470555142903801,129.388240467202,0.110595135948673,0.0829852802696167
"CapeMayNJ",0.00531064704124926,0.00197462766833278,132.679194639909,-0.0203159863977838,-0.0367144217625885
"LewesDE",0.00599803162475711,0.00160212613855069,137.818381380509,-0.0293449217011894,0.129754688747526
"ChesapeakeBBT",0.00471039999135639,0.00235371661839515,160.271028134418,-0.140060441423025,0.159786109189974
"WilmingtonNC",0.00216895548789785,0.00538165974315889,69.3431401166013,0.10128438356936,0.17699394590126
"FortPulaskiGA",0.00518271812319952,0.00097683175079224,75.8054107950581,-0.0118043721550391,0.200723502409822
"MayportFL",0.0053912437896883,-0.00101249387691159,65.7669118891274,0.0218454665133615,-0.0220749703339167
"VirginiaKeyFL",0.00449858301866312,-0.000135541430826142,63.0904839982013,0.0271791505500857,0.246664783109863
"NaplesFL",0.00551619098579111,0.00241721760204706,83.887506174491,-2.52358110715977e-05,0.246746398773582
"StPetersburgFL",0.00540106071337274,0.00327206423143103,79.309447603549,0.191218618449452,0.181990032187567
"ApalachicolaFL",0.00493559063074988,0.00210474563180277,116.741020379505,0.179649058235098,0.302099771943179
"PanamaCityBeach",0.0049113702476688,0.00185529431677988,132.984175394279,0.179399952506682,0.247345265579446
"PensacolaFL",0.00514555777166691,0.00250379482051385,74.1401609690038,0.295931403768259,0.216914316178751
"DauphinIslandAL",0.00460662321045892,0.00168677204546629,87.9034999544205,0.169408646540627,0.317519146857291
"GrandIsleLA",0.0045467882403742,0.0012086684682438,102.341613861639,0.132973101082579,0.305922570808086
"SabinePassNTX",0.00446328981812494,0.00107662628240436,84.1286737663933,0.127819884805096,0.237974557327941
"GalvestonPPier",0.00522144340026829,0.00138380668453839,104.59564068544,0.183989258600956,0.279108527788239
"RockportTX",0.00369746559843816,0.000954928199270265,73.5007220485335,0.199353279841018,0.130826478864896
"CorpusCristiTX",0.00463828691764868,0.000328808774805261,126.153453526004,0.0270389809117079,0.101811514258458
"PortIsabelTX",0.00481529540728093,-0.000677170907240467,77.955935821921,0.0623112493348231,0.176558127332165
"ClearwaterBchFL",0.00492880427274853,0.00266892279727931,127.047259768137,-0.0386386782090996,0.0244629674810791
"PortCanaveralFL",0.00434849995102539,0.00120525268383995,58.8343039446563,0.0766382936711266,0.218545271073352
"GalvestonPier21",0.004923128771585,0.00202093940364188,103.337019962543,0.305427894491015,0.0108385381162346
