"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00544315045232745,4.6488914937446,-0.269201623453003,-0.0214946465579861,0.158881773006407
"KeyWestFL",0.0049662705389388,3.70890737740653,0.0598465658196616,0.0600350547981369,0.24185876457246
"PortlandME",0.00663405920052259,4.64263265742899,-0.0485523071655939,-0.000238560644570626,-0.0406084030913775
"NewportRI",0.00706841760531534,4.79522232209828,-0.18313310622614,-0.12178941341472,0.272905581238969
"DuckPierNC",0.00588386197320459,4.86119966845244,0.0410185906344323,-0.0330390207456316,-0.0343805286478341
"CharlestonSC",0.00621584062331806,4.10371200710323,0.244042257851576,0.18501423780215,0.0574200219745084
"AtlanticCityNJ",0.00690884264327192,4.68163830716096,0.0742730026508596,0.0310622577687868,0.046108059590521
"MontaukNY",0.0072694876264262,5.09466807434211,-0.0118413222105315,0.139277720019224,-0.198532732166804
"EastportME",0.00649756407931667,4.22582900444139,0.512819234875353,0.223721936165187,-0.390856513155281
"BostonMA",0.00685913089022398,4.61656766685307,-0.129918253587708,-0.00477885653790604,0.323515190297321
"WoodsHoleMA",0.0073150434873993,5.13414435106352,-0.207572762604521,0.0410882442629163,-0.0515444435845068
"NantucketMA",0.00684192400494166,4.07118647496861,0.631485177584553,0.106396649260956,0.298901900715608
"NewLondonCT",0.00764237678169179,5.214918299365,-0.419114565588261,0.16735176837349,-0.0764512142610968
"NewYorkNY",0.00707512149687649,5.06595679221459,-0.342193666095562,0.0585000960552505,0.163281252024901
"CapeMayNJ",0.00654300631894606,4.8348400460427,0.0968610456767957,0.0594008283418832,-0.169274130658574
"LewesDE",0.0068250634338593,4.73833666780113,0.328849076579883,0.0390409721455417,0.00350023085255603
"ChesapeakeBBT",0.0062374374900354,4.78327399246363,0.43262068050124,-0.148035375855525,0.129732434900386
"WilmingtonNC",0.00526845807649273,3.85236401180026,0.558912348247734,0.189002752832884,0.0288275425770482
"FortPulaskiGA",0.00576059946002113,4.18228858588971,0.263972160553768,0.0179864045590907,0.14610674198905
"MayportFL",0.00513473129439556,4.21388612689819,-0.0504774011293351,0.0607872475626293,-0.127656042120623
"VirginiaKeyFL",0.00482478863134058,4.00413266759546,0.194908098512304,0.0101526916495784,0.274058628812271
"NaplesFL",0.00695789562081405,4.1763765561768,0.36543331801761,0.0145086408243649,0.223334405293356
"StPetersburgFL",0.00722866635897342,4.21120532460953,0.251031194191587,0.252708754068562,0.0905568057623697
"ApalachicolaFL",0.00633048657455657,4.41900739662108,0.42961607866598,0.191143980901575,0.317341790621986
"PanamaCityBeach",0.00614664129151174,4.83547109759503,0.0284214543007585,0.193534810407098,0.294792153808575
"PensacolaFL",0.00637331257481865,4.05402068366239,0.479122045543041,0.373032638754722,0.0630031474499302
"DauphinIslandAL",0.00583202652800996,4.28474860796776,0.211465094121576,0.152014848750063,0.391254357812982
"GrandIsleLA",0.00550622122062334,4.43032300512082,0.238792320801558,0.106062601391514,0.374540197095272
"SabinePassNTX",0.00538751348773383,4.51256037654029,-0.110735739218773,0.125227002179164,0.268513696937089
"GalvestonPPier",0.00602474701586403,4.42069701969894,0.366312121416792,0.178938318647668,0.31388337580583
"RockportTX",0.00448252088436919,4.26271156356992,0.0530708730946092,0.249507193159959,0.0658101895530854
"CorpusCristiTX",0.00511703421081988,4.66314727865013,0.227533227936041,0.0744966895611185,0.0436334717167848
"PortIsabelTX",0.00463616330210294,4.17680824823569,0.313774432400622,0.0951695598556244,0.118685244093945
"ClearwaterBchFL",0.00668167999683829,4.74507960808629,0.137189022554918,0.0283177897643709,-0.0717632127772742
"PortCanaveralFL",0.00542118184542468,4.03803233706072,0.0489289599016204,0.0823898086259306,0.235306779748437
"GalvestonPier21",0.0058291603334945,4.4856871976434,0.283697074754558,0.403996971805834,-0.170437520213887
