"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00488499023339128,0.00103048921258733,4.65820320588659,-0.27068312926471,-0.0240871046669442,0.157343594617433
"KeyWestFL",0.0040590185128936,0.00175227822777014,3.71088437755233,0.0550334482224308,0.0688858959269509,0.229067711348523
"PortlandME",0.00449405000593772,0.00469420983888795,4.64185011239784,-0.0458086687045324,-0.00170629193089097,-0.0405599004029583
"NewportRI",0.00594728499368322,0.00223195398910589,4.80802469772533,-0.206634033941521,-0.128932808613472,0.283538436058067
"DuckPierNC",0.00450434253465355,0.00195957926563045,4.86665861220274,0.0359744008492103,-0.0267179025567112,-0.0443791040962881
"CharlestonSC",0.00481538199924017,0.00292997694914284,4.11359593527005,0.233345371202028,0.185798517590879,0.0525409804571058
"AtlanticCityNJ",0.00594576059625888,0.00218905210506293,4.68061651743875,0.0820087249706198,0.0281679311834086,0.0501864848874569
"MontaukNY",0.00668848181564773,0.00116253828293189,5.08777919789549,-0.00477455078466132,0.137205962527146,-0.192066465204656
"EastportME",0.00430867643117949,0.00425066934776993,4.22799798837024,0.512647494803725,0.230551128029708,-0.402570865839685
"BostonMA",0.00553378170142796,0.00282885168038131,4.61493547250128,-0.128040416225562,-0.00728579844228011,0.332056141700549
"WoodsHoleMA",0.00677145381379513,0.001144839168289,5.12726175486416,-0.193813765839596,0.0462869570218138,-0.0592634815105527
"NantucketMA",0.00515752350777103,0.00274240272577421,4.07851843246863,0.616102423319676,0.111515520190486,0.300644143232299
"NewLondonCT",0.00659875696426472,0.00214336733678215,5.20283242559166,-0.404307648791808,0.173920684173516,-0.0828552010913885
"NewYorkNY",0.00479418585677368,0.00469120300968672,5.06145623168613,-0.337845044633579,0.0589025880826767,0.163829241934001
"CapeMayNJ",0.0053571404764312,0.00191166156663476,4.82899731525323,0.111318059690844,0.0612706716456463,-0.173440640000315
"LewesDE",0.00602894270870553,0.00159549765069967,4.73908184554765,0.324377583342913,0.0419854498815855,-7.41666629511823e-05
"ChesapeakeBBT",0.0047062363680341,0.00233344003129488,4.79048010320454,0.424572267036788,-0.157436234375772,0.138929009739281
"WilmingtonNC",0.00215196798724313,0.00539550770048016,3.84467809952577,0.567193964829748,0.183080604067967,0.0317297904668656
"FortPulaskiGA",0.00519076799387255,0.000966543166344716,4.19028557350381,0.243816409823323,0.0150756801756951,0.15328969097331
"MayportFL",0.00538426893019788,-0.0009965201927616,4.21187537196139,-0.0541987324672521,0.0588332981106939,-0.120647818780051
"VirginiaKeyFL",0.00451953089852042,-0.000151604583907764,3.99528730307063,0.200654367616971,0.00789140162053099,0.279588231804909
"NaplesFL",0.00554403745727331,0.00238988911882866,4.1724039692358,0.356191032181827,0.0202463092582601,0.224486304126989
"StPetersburgFL",0.00540001343763016,0.00326087507654665,4.21544089151206,0.242171352402779,0.257331558372097,0.0849575933841257
"ApalachicolaFL",0.00495953370255424,0.00207722545750572,4.4147565897183,0.432812367850056,0.192945429324165,0.316590578485352
"PanamaCityBeach",0.0049189143709545,0.00183859812765702,4.83711329441201,0.0312855831712681,0.196235834586317,0.288560172205642
"PensacolaFL",0.00514875009622503,0.00249559291880388,4.05279063870558,0.486025467075772,0.37393474171343,0.0595768124930824
"DauphinIslandAL",0.00462934851357997,0.00166082381884772,4.28513753770017,0.207071463446741,0.1523081685675,0.396153877059165
"GrandIsleLA",0.00455018017245749,0.00121324581120236,4.42854401728535,0.242482324103012,0.111211653452547,0.36647804802226
"SabinePassNTX",0.00450343623598084,0.00103508854559833,4.51843392005732,-0.116492795638026,0.123094979467691,0.268304081104141
"GalvestonPPier",0.00519545590996078,0.00140850906909723,4.42548766932039,0.35785560042758,0.179926131124307,0.313424496923162
"RockportTX",0.00371861697574811,0.000935262984809352,4.25146611608592,0.0630484158256715,0.253161928522671,0.0653676958226793
"CorpusCristiTX",0.0046256115521741,0.000331375563456802,4.65942827446582,0.228493761119946,0.0740453861009285,0.0390492052377585
"PortIsabelTX",0.00481479533225667,-0.000680184951772225,4.18335461792662,0.311078456405333,0.0907739386746959,0.126001189661998
"ClearwaterBchFL",0.00493753178698418,0.00264801186266235,4.74108404884466,0.146090866738263,0.0261010541569133,-0.0684482654811317
"PortCanaveralFL",0.00437249939416946,0.00118069091510194,4.03352260523295,0.0604531154277951,0.0809714507427908,0.235679667248115
"GalvestonPier21",0.00492108629658846,0.00207093129600481,4.48795617756358,0.277477041640408,0.400653976552663,-0.163601749061132
