"","lambda","sigma","xi"
"FernandinaBeach",0.00544411608350296,91.7531210553496,0.0590649118723502
"KeyWestFL",0.00496562269280913,41.6005987332483,0.195180831810419
"PortlandME",0.00663570839966682,100.954926512599,-0.0213013865187699
"NewportRI",0.00706642474947038,108.613293239742,0.0422535807668164
"DuckPierNC",0.00588465342511556,132.173348825936,-0.0549627782073536
"CharlestonSC",0.00621435080197177,69.3181999753289,0.212425894199486
"AtlanticCityNJ",0.00691049313415904,112.039765076657,0.05435956112583
"MontaukNY",0.00727054418497335,159.118613688883,0.0374978381506161
"EastportME",0.0065004341036696,94.0478500967094,-0.00471706143023074
"BostonMA",0.0068596608598242,95.3023961364732,0.165314274316744
"WoodsHoleMA",0.00731069151782117,147.076821647364,0.0130618252520204
"NantucketMA",0.00684070106027783,94.8766073996226,0.316436240174117
"NewLondonCT",0.00764198377823683,141.897255962095,0.138490971240866
"NewYorkNY",0.00707577014013309,128.261482660267,0.164964332749741
"CapeMayNJ",0.00654394818753657,130.993040976303,-0.03399763935969
"LewesDE",0.00682412515124084,138.54063565242,0.0470678133717954
"ChesapeakeBBT",0.00623724489316805,161.704261085253,-0.0157383336728301
"WilmingtonNC",0.00527055456647725,71.0057974758985,0.212416749593904
"FortPulaskiGA",0.00576088283262868,75.4425516905169,0.123689342454169
"MayportFL",0.00513387115785807,65.498228208715,0.0174653928829404
"VirginiaKeyFL",0.00482342988874945,67.4073268461717,0.195647029970828
"NaplesFL",0.00695614952730459,84.6170428459717,0.180459308634258
"StPetersburgFL",0.00722869822153808,81.1509482336797,0.28706099788159
"ApalachicolaFL",0.00632980033446329,122.352822916345,0.367397749554881
"PanamaCityBeach",0.00614767992812932,142.107553368951,0.307219071357717
"PensacolaFL",0.00637328868302692,75.8805375196481,0.394710054457651
"DauphinIslandAL",0.0058309710278076,95.1104968318887,0.351680490770751
"GrandIsleLA",0.0055054696392745,108.016819009774,0.323835067953374
"SabinePassNTX",0.00538642998957287,85.3438074659483,0.293219549041866
"GalvestonPPier",0.00602358044253572,106.950460038542,0.334406246566503
"RockportTX",0.00448158968430966,75.1687445982652,0.259193496336322
"CorpusCristiTX",0.00511725233358747,128.097474245884,0.0911026578173104
"PortIsabelTX",0.00463611089952707,79.3830772096851,0.15508543564045
"ClearwaterBchFL",0.00668580078940979,126.875631192956,-0.0159479917347802
"PortCanaveralFL",0.0054208088087975,62.8619081989604,0.213248640057324
"GalvestonPier21",0.0058299305581253,103.296297673744,0.310880304466752
