"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.00477497907128972,0.0012274915647402,91.7537251161406,0.0590653350519988
"KeyWestFL",0.00408661131821961,0.00164767943227576,41.6007292870202,0.195176740398777
"PortlandME",0.00493554723988485,0.0035910812965884,100.954742452505,-0.0212976867996032
"NewportRI",0.00608065274416046,0.00194902661634001,108.613484896828,0.0422500857995462
"DuckPierNC",0.0046186186470314,0.00179790302715914,132.173327539932,-0.0549645835543121
"CharlestonSC",0.00475439018240449,0.00291974030336036,69.3181495727132,0.212423481999831
"AtlanticCityNJ",0.00583703011747526,0.0023206948706105,112.040203861959,0.0543579733451825
"MontaukNY",0.00669279078047032,0.00119412195919757,159.1187176729,0.0374982499951378
"EastportME",0.00467087497596581,0.00343774560834171,94.0473064863493,-0.00471435339313376
"BostonMA",0.00581295644061902,0.00215406561753711,95.30273173651,0.165312393707827
"WoodsHoleMA",0.006815600942986,0.00099280490171996,147.076617263208,0.0130585700656829
"NantucketMA",0.00534188866461319,0.00252880263930651,94.8765308216744,0.316434888977258
"NewLondonCT",0.00658482020144518,0.00210967273607415,141.897246130887,0.138491083235523
"NewYorkNY",0.00491153843391582,0.00433807300057357,128.260867202513,0.164967725993127
"CapeMayNJ",0.00539283834127151,0.00188199420451559,130.993177520466,-0.0339997007402769
"LewesDE",0.00585290482677697,0.00186948559210884,138.540506806161,0.0470696818391374
"ChesapeakeBBT",0.00482345459024885,0.00217990556408554,161.704648558025,-0.0157395540149596
"WilmingtonNC",0.00251988804416896,0.00475361805329286,71.0056661994713,0.212417860355624
"FortPulaskiGA",0.00520893072894812,0.000911869669036618,75.4427508752476,0.123689239206922
"MayportFL",0.00512071920457356,-0.000308425039538744,65.4981347787661,0.0174660640505187
"VirginiaKeyFL",0.00445987146766793,-4.43119466317914e-05,67.4070791662421,0.195647025546089
"NaplesFL",0.00572091739296901,0.00214979923266635,84.6171890129463,0.180459805374834
"StPetersburgFL",0.00533030107415108,0.00347723402324971,81.1509813552068,0.287061290059494
"ApalachicolaFL",0.00483448662528703,0.00226982272117893,122.352958999178,0.367397143901903
"PanamaCityBeach",0.00478485197801921,0.00206439216865743,142.107277270179,0.307219440018615
"PensacolaFL",0.00503416049349028,0.00264339776839549,75.8799246244918,0.394712007110164
"DauphinIslandAL",0.00447811459769911,0.00193413461388717,95.1106328078698,0.351678822235468
"GrandIsleLA",0.00436229409635326,0.00151630663881718,108.01676428208,0.323831093484046
"SabinePassNTX",0.00447766836988851,0.00108472572123549,85.3438278025561,0.293220134991515
"GalvestonPPier",0.00526989969020781,0.0012923384731409,106.950582379393,0.334406126688028
"RockportTX",0.00367362516547253,0.00107055666036158,75.168954606118,0.25919258299669
"CorpusCristiTX",0.00437378812634811,0.000761858829297533,128.097990663028,0.0910999934515521
"PortIsabelTX",0.00439161619859289,0.000108541990000664,79.3826796372053,0.155087807026417
"ClearwaterBchFL",0.00513078303666889,0.0023954265349924,126.874835856464,-0.0159451412941476
"PortCanaveralFL",0.00450607669159804,0.00102063811715367,62.8627734038098,0.213242308219697
"GalvestonPier21",0.00476931034855454,0.00228798722986359,103.295913313294,0.310880031040162
