"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.00544409120343885,4.55481041017484,-0.0604070201867185,0.0575521899174952
"KeyWestFL",0.00496558516883774,3.66790082308204,0.158830137112742,0.17987048531529
"PortlandME",0.00663576697318713,4.6263220064533,-0.0159354913170696,-0.0231465647774493
"NewportRI",0.00706644680711716,4.71241607812116,-0.0409768007242068,0.0423740184946362
"DuckPierNC",0.00588469312518165,4.82594737267231,0.0885943788857261,-0.0625049076752275
"CharlestonSC",0.00621443739308153,4.14897229849665,0.174091730127153,0.207007630645543
"AtlanticCityNJ",0.00691068633421142,4.67889854746071,0.0805617502818081,0.0531605120000073
"MontaukNY",0.00727063780824611,5.12876182624569,-0.0856382617145061,0.0309779045298232
"EastportME",0.00650058883360839,4.4269543397036,0.187527408029399,-0.0027536333531048
"BostonMA",0.00685970009281613,4.50603835841412,0.111626356361874,0.157050505441403
"WoodsHoleMA",0.0073107085341616,5.07753396536378,-0.129989317120814,0.00946019959489113
"NantucketMA",0.00684067374511334,4.28892784970687,0.388461028528776,0.300849852745046
"NewLondonCT",0.00764200880973526,5.08929205384912,-0.209725077242492,0.127798077549965
"NewYorkNY",0.00707568177766889,4.99010211107894,-0.226495743513738,0.160120423975353
"CapeMayNJ",0.00654391952119864,4.90945851544851,-0.0378263743825838,-0.0392465257308182
"LewesDE",0.00682422850799732,4.83572227435144,0.174009742191605,0.0404702139091191
"ChesapeakeBBT",0.00623737092404216,4.88141844796585,0.31215140096242,-0.0491282477563766
"WilmingtonNC",0.00527047287284983,4.07310043367331,0.269218145818335,0.208685371111448
"FortPulaskiGA",0.00576099452793379,4.20495813326793,0.220613076221326,0.114201047648374
"MayportFL",0.00513383348191025,4.16914576698418,0.0518742742321339,0.0130100742477273
"VirginiaKeyFL",0.00482345011523624,4.18825453556488,0.0775841446203243,0.178337073543371
"NaplesFL",0.00695619909405478,4.29565580066474,0.223152552279484,0.171496678451796
"StPetersburgFL",0.00722873562718381,4.34005697240605,0.0970579415819892,0.283829991152895
"ApalachicolaFL",0.00632972757496924,4.63386759826338,0.244167906121508,0.356088124000028
"PanamaCityBeach",0.00614773707156483,4.86849448538145,0.139543176326904,0.294213855785743
"PensacolaFL",0.00637334535427624,4.14912160138335,0.344921146850058,0.377560200147359
"DauphinIslandAL",0.00583095800971848,4.44032514722661,0.172260464599384,0.337792990018301
"GrandIsleLA",0.00550547902916409,4.57672347573147,0.155418730183982,0.313352601746545
"SabinePassNTX",0.00538645530647017,4.44739159141163,0.0147002329111075,0.289755214819699
"GalvestonPPier",0.00602362658409141,4.52717715481964,0.257629465152984,0.324032587289092
"RockportTX",0.00448158862396907,4.26469060363753,0.103469741204874,0.253470711813766
"CorpusCristiTX",0.00511723911073589,4.73720182526031,0.16606643372033,0.0783688781194502
"PortIsabelTX",0.00463611464614961,4.23083104900246,0.263376165233437,0.13906268040155
"ClearwaterBchFL",0.00668583689973428,4.85240976105249,0.00256228628296806,-0.0218260591436578
"PortCanaveralFL",0.00542082133103872,4.1599533744165,0.0220985666071533,0.198427595309723
"GalvestonPier21",0.00582990810138977,4.53358701460708,0.205506011035705,0.310970955061325
