"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00544412183185743,92.1608924600666,0.0191647232765503,0.0661081391525521
"KeyWestFL",0.00496561449805233,41.9587920310013,0.0353862629563896,0.25075637838137
"PortlandME",0.00663572740308603,101.250749302689,-0.0175110862883394,-0.0121155998186902
"NewportRI",0.00706642046325438,109.318222573203,-0.0512275856427089,0.146626472614971
"DuckPierNC",0.00588466977438054,131.998237595593,-0.107340655683787,0.0632162077369752
"CharlestonSC",0.00621435059971311,69.1360196082025,0.113637360421613,0.171889482384049
"AtlanticCityNJ",0.00691051238407113,112.257603884517,0.0448377399161313,0.0142888052637379
"MontaukNY",0.0072705375961168,162.33837459592,0.0966627497213953,-0.148724782702642
"EastportME",0.00650043435093854,94.6432999695123,0.015669437375583,-0.042155123007871
"BostonMA",0.00685965360830354,95.1155777604452,0.0337072929758026,0.229644098758844
"WoodsHoleMA",0.00731068715423456,147.630672885086,0.0192166515634785,-0.0161395805040308
"NantucketMA",0.00684070109352578,92.1886472230315,0.104129550982901,0.307651859836583
"NewLondonCT",0.00764196895963298,144.182056980922,0.177007700659461,-0.102811121839523
"NewYorkNY",0.00707577170978727,128.981522719942,0.142205728661216,0.0306846996188778
"CapeMayNJ",0.00654394633843199,133.398384865729,-0.0018651159760525,-0.0737811340650566
"LewesDE",0.00682413421808066,137.918396779742,-0.0198102119792213,0.113961122899662
"ChesapeakeBBT",0.00623724226960876,159.696749773197,-0.127871870663164,0.144127261331186
"WilmingtonNC",0.00527055845414135,70.2110839866341,0.151543802183597,0.0964546681006751
"FortPulaskiGA",0.00576087816892507,75.9086827272729,-0.0211274489221492,0.207951565249434
"MayportFL",0.0051338659511979,65.5560163469381,-0.00343909780961842,0.0448418494136509
"VirginiaKeyFL",0.00482342613932771,63.8269386851359,0.042418186303135,0.212254306862243
"NaplesFL",0.00695614977801845,84.391525848986,0.0467622022857749,0.184392843302946
"StPetersburgFL",0.00722870831570083,80.6020144888868,0.230309091025906,0.0994451655174914
"ApalachicolaFL",0.00632979183126214,117.881461997455,0.183270118638125,0.274329252597682
"PanamaCityBeach",0.00614768546167502,133.496417604571,0.153780141565569,0.245022763338092
"PensacolaFL",0.00637329096963221,74.7711361408216,0.248420800018172,0.265933446548209
"DauphinIslandAL",0.00583097512816588,89.7797577931676,0.161200412487788,0.289301851606982
"GrandIsleLA",0.00550546799714392,103.971078684439,0.150645179730926,0.25514874513657
"SabinePassNTX",0.00538643026198847,84.0760825387982,0.146983517314678,0.2038721197256
"GalvestonPPier",0.00602357481123179,105.095694971805,0.189935198995717,0.25286430443715
"RockportTX",0.00448158306607844,74.2500871757186,0.199309980329272,0.11103364133434
"CorpusCristiTX",0.00511725022003526,125.697276933512,0.0189706396938687,0.106388571393653
"PortIsabelTX",0.00463610589309179,77.6760185238584,0.0485307082159456,0.189920679540466
"ClearwaterBchFL",0.00668580443924797,129.347761994731,-0.00541756169961221,-0.0343590621640368
"PortCanaveralFL",0.00542080536507785,59.5384198969622,0.0710000679591185,0.204967150229137
"GalvestonPier21",0.00582992407485923,103.453599064791,0.265531473975349,0.0856470977659635
