"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00477351420883863,0.00123426535635425,4.55525316589146,-0.060927358199036,0.0571245497380197
"KeyWestFL",0.00408926974842444,0.00164361270554409,3.66810624501554,0.158330273082269,0.179939584533965
"PortlandME",0.00492691326093077,0.003605434445258,4.62754096035489,-0.0171089712246926,-0.0233720842455168
"NewportRI",0.00607691838296382,0.0019509312467751,4.71228201256111,-0.0410990220890429,0.0426245495366282
"DuckPierNC",0.00461666335018922,0.00180254668834068,4.82608272142483,0.0878361980658752,-0.0622658539468213
"CharlestonSC",0.00474728755902382,0.00293233497749418,4.1500377504909,0.171855070463906,0.206935224527048
"AtlanticCityNJ",0.00583632009303785,0.0023260421201456,4.67994649317123,0.0796745650863746,0.0531271921374655
"MontaukNY",0.00669800779207983,0.00118341411802208,5.1295446254617,-0.086191130926219,0.0308722024590925
"EastportME",0.00466609809279914,0.00344236070091077,4.42817110423306,0.185835397655275,-0.00295433044584441
"BostonMA",0.00581284163108615,0.00215780744067057,4.5058628685991,0.110464340589719,0.157277373166771
"WoodsHoleMA",0.00681574060133095,0.000993534736702511,5.07942081067644,-0.13103049208247,0.00910608734140286
"NantucketMA",0.00533822891085857,0.00253763174239674,4.28929615623517,0.387418112886215,0.301058516478242
"NewLondonCT",0.00658593199268917,0.0021082699114554,5.08951427503179,-0.210444156852526,0.127771441427482
"NewYorkNY",0.00490643508759883,0.0043474449458399,4.99054497681587,-0.226874485901539,0.159744438192499
"CapeMayNJ",0.00539012310689945,0.00188839164078861,4.90995670313554,-0.0387715331707217,-0.0385014997017109
"LewesDE",0.00584873695738813,0.00186927249420833,4.83717834232688,0.172433467114195,0.0405218731187259
"ChesapeakeBBT",0.00481732219542049,0.00218554642002833,4.8830272871917,0.309526244234303,-0.04903105994039
"WilmingtonNC",0.0025110102827813,0.00476670368641598,4.07445749659122,0.267853856206276,0.208921804195818
"FortPulaskiGA",0.00520409466693234,0.000916524543171582,4.2048777574069,0.221072614138462,0.114126604946628
"MayportFL",0.00511568820351219,-0.00030771129929154,4.17236859603741,0.0451710880175271,0.0140280585060004
"VirginiaKeyFL",0.00445910754835714,-4.42530233923474e-05,4.18936703458229,0.0767139274559051,0.178326676309463
"NaplesFL",0.0057282620900931,0.00214698191541838,4.29671853113403,0.221201672782936,0.171763417599081
"StPetersburgFL",0.00532190078904224,0.0034926479205902,4.34208229368315,0.0947466370221696,0.284069528392466
"ApalachicolaFL",0.00483106597179446,0.00227546587308664,4.63494993502137,0.242498439703537,0.355786559235256
"PanamaCityBeach",0.00477869411968907,0.00207207122931581,4.86954787263886,0.138039911228536,0.294361826983569
"PensacolaFL",0.00503287501921083,0.00264919397776924,4.14962547646496,0.345205560547905,0.377381052543396
"DauphinIslandAL",0.0044730131022861,0.00193749240302887,4.44092538028371,0.170527270692991,0.338456550517675
"GrandIsleLA",0.00436045473191813,0.00151872960029369,4.57754030091487,0.15417246695554,0.313377406832616
"SabinePassNTX",0.00447645358911645,0.00108953760013022,4.44917227686917,0.011903860001948,0.28963247152288
"GalvestonPPier",0.0052689109953223,0.00129422126255642,4.52760183245125,0.257613545161541,0.323783084807319
"RockportTX",0.00366828029515533,0.00107639889242897,4.26504816206644,0.103403754361116,0.253990367782606
"CorpusCristiTX",0.0043681998196027,0.000766615053248265,4.73805492483782,0.165257733605104,0.0781241383865182
"PortIsabelTX",0.00439033739948484,0.000110192527034505,4.23158970227409,0.261867133048165,0.139295330287315
"ClearwaterBchFL",0.00512746854955227,0.00240181815085831,4.85362426787001,0.00189548428533457,-0.0218919660412251
"PortCanaveralFL",0.00450438226506858,0.00102057858914869,4.16168755494425,0.0202598447815004,0.198749917511198
"GalvestonPier21",0.00476335434339872,0.00230588824055169,4.53501438060299,0.205119534109004,0.310666254393729
