"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00476007293231089,0.00124076620693677,92.1565207784235,0.0190635298614975,0.0661764461575227
"KeyWestFL",0.00408106281468536,0.00164459251516149,41.9575657611177,0.0354498192450307,0.250652835358405
"PortlandME",0.00487441095183677,0.00368427213054526,101.240116236151,-0.0175517086421512,-0.0119223792894627
"NewportRI",0.00608226852078106,0.00192753095044674,109.316966093419,-0.0512886539985489,0.146793969601279
"DuckPierNC",0.00462185684197538,0.00176613151602674,131.988254867886,-0.107497965757728,0.063385825525208
"CharlestonSC",0.00475933642635078,0.00288458488938528,69.1304354686779,0.11365018777985,0.171879282082247
"AtlanticCityNJ",0.00579058884581198,0.00239620448914164,112.254306207429,0.0448723019257618,0.014242301257996
"MontaukNY",0.00667636948289263,0.00121017435720762,162.333746313966,0.0966654485709074,-0.148821232937903
"EastportME",0.00460536025209889,0.00352213091179492,94.6476237091687,0.0157268127106016,-0.0422669513250563
"BostonMA",0.00574361398018035,0.00226943863244799,95.1314839781326,0.0337050695863042,0.229537166723603
"WoodsHoleMA",0.00679081716182102,0.00102148420347876,147.64124078439,0.0191554172364442,-0.0161005314279026
"NantucketMA",0.00533945808452887,0.00250049533056786,92.1816327061912,0.104147157901864,0.307602380989394
"NewLondonCT",0.00653043497268164,0.00218355177041372,144.173857030757,0.177084208171374,-0.102850478736276
"NewYorkNY",0.0048693310008748,0.00437416996162804,128.986010226987,0.14205815410736,0.0308367707567464
"CapeMayNJ",0.00535501559025106,0.00191565708769794,133.400789172095,-0.00195753767335383,-0.0736149342822065
"LewesDE",0.00589833594118336,0.00176604901498492,137.939387379711,-0.0197922295929853,0.113884440992975
"ChesapeakeBBT",0.00481377848324633,0.00218290887938674,159.693346135246,-0.127930562479218,0.144216594764863
"WilmingtonNC",0.00250681430187808,0.00473146613197695,70.2085339628928,0.1514525781387,0.0966526951252208
"FortPulaskiGA",0.00512975105668596,0.00104909271078351,75.9038657075523,-0.0211544489439056,0.208028637478943
"MayportFL",0.00512055542247668,-0.00030823377091492,65.5596458598684,-0.00361928270728386,0.044964448591257
"VirginiaKeyFL",0.0043793050239988,8.61805505561488e-05,63.8291305667127,0.0423679568358796,0.212238883078488
"NaplesFL",0.00563836392326769,0.00225431779726241,84.3935074630845,0.0468190448012431,0.184393331109417
"StPetersburgFL",0.00535719280511982,0.0033956097853551,80.607545723111,0.230348155043043,0.09925947245953
"ApalachicolaFL",0.00482461742436758,0.00225192433200029,117.888885850127,0.183152164749241,0.274495967966599
"PanamaCityBeach",0.00480543637042718,0.00198032752213458,133.495461366312,0.153739124347945,0.245038623680897
"PensacolaFL",0.00507347749653292,0.00254344677218005,74.7722706607658,0.248450232534795,0.265928710869698
"DauphinIslandAL",0.00451024292089557,0.00185287552925208,89.7773433662781,0.161146849225853,0.289391729455098
"GrandIsleLA",0.00428922331767404,0.00160110120423944,103.977265599696,0.150507362804681,0.255279293724523
"SabinePassNTX",0.00442694214329149,0.00114169930581039,84.0735447445544,0.14709563289256,0.203794629821313
"GalvestonPPier",0.00527059823601319,0.00129150380892662,105.084409112575,0.190013527130226,0.252863442514411
"RockportTX",0.0036615626348142,0.00108232681520801,74.2426376103762,0.199203318923026,0.111236959040721
"CorpusCristiTX",0.00433613084557941,0.000805474881781451,125.706866211441,0.0188979805461982,0.10641016832041
"PortIsabelTX",0.00443785185360878,2.22410785330325e-05,77.6698895843047,0.0486029835184473,0.189842635779307
"ClearwaterBchFL",0.00507713516205612,0.00241744702513069,129.346825911987,-0.00551417975769865,-0.0342277816893619
"PortCanaveralFL",0.00444284830794432,0.00109214924282939,59.5335260952326,0.0709726950960051,0.20503554464678
"GalvestonPier21",0.00473043384641795,0.00235188277436939,103.458857092243,0.265447790922696,0.0856613332376149
