"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00544360952602076,4.58145620736949,-0.11840274283914,0.0105611176421314,0.0934448293562477
"KeyWestFL",0.00496592152689659,3.70840509756986,0.076927070057516,0.0249832604341708,0.269947716630723
"PortlandME",0.00663745078495371,4.61035106920003,0.0130427286199592,0.00617767189651416,-0.0529351520040477
"NewportRI",0.00706407269039879,4.81241933904683,-0.21445112580562,-0.0968347582535042,0.230488353934116
"DuckPierNC",0.00588487033412589,4.79182687869661,0.127067919676771,-0.100146097799645,0.0467729219631152
"CharlestonSC",0.00621620074352811,4.10058352096065,0.243405889973203,0.151981644855487,0.110169434968886
"AtlanticCityNJ",0.0069097803515753,4.66817253857995,0.0959043420313854,0.0849742321300494,-0.0564427266674519
"MontaukNY",0.00726857151940858,5.0985699896225,-0.00995287132904085,0.142341377648297,-0.225562422726763
"EastportME",0.00649997034604357,4.295142530106,0.394892034839336,0.148038983259627,-0.252175957929437
"BostonMA",0.00685938349337892,4.57634057030216,-0.0519266942514601,0.00829842139257799,0.291801320025174
"WoodsHoleMA",0.00730870980631314,5.13949929182413,-0.229924357676783,0.0234122752636691,-0.0196235434314047
"NantucketMA",0.00684235273186527,4.13067859397052,0.567279559542591,0.10842823639868,0.294578970556952
"NewLondonCT",0.007642634069271,5.14221718941207,-0.285325103959855,0.192260283115934,-0.12496373664798
"NewYorkNY",0.00707679784500824,5.08141435649833,-0.369382601347316,0.108836541476002,0.0816715651395264
"CapeMayNJ",0.00654333098035361,4.91962812893838,-0.0126980065854009,0.067433116526531,-0.194368003126383
"LewesDE",0.00682534426511845,4.78972217366803,0.24247169495556,0.0236405388235845,0.0337417791766708
"ChesapeakeBBT",0.00623781752977562,4.7108752981745,0.536227967364724,-0.143516558253033,0.103018456241316
"WilmingtonNC",0.00527059133675939,3.87156178612399,0.534345197771793,0.238762136617925,-0.0419853848933961
"FortPulaskiGA",0.00576364979408771,4.18405014440785,0.255869350716515,-0.00306247428591328,0.17767908407049
"MayportFL",0.00513297964466532,4.15252638018554,0.0813542711349842,0.0164539966162052,-0.000604987000041183
"VirginiaKeyFL",0.00482458057425021,4.0436010142023,0.15306043515758,0.0339345637789349,0.23470247174717
"NaplesFL",0.00695495908872366,4.22298062284416,0.306604480667534,0.082532900918944,0.139820828292518
"StPetersburgFL",0.00722766094114057,4.26261345324287,0.192489005057178,0.304724827474618,-0.00910769684211207
"ApalachicolaFL",0.00632822089602012,4.42600437069175,0.426046417039915,0.204367058936904,0.276792167381189
"PanamaCityBeach",0.00614854251609633,4.68657495838152,0.212216977982905,0.167369626862648,0.284483642052511
"PensacolaFL",0.00637386092935525,4.08650015686958,0.410106809380455,0.306383426111996,0.171838169739313
"DauphinIslandAL",0.00583133343481829,4.26119410478706,0.26855845983213,0.161056100050066,0.334943811389589
"GrandIsleLA",0.00550580146938172,4.4897621778401,0.171025591418753,0.155527019061574,0.288197096062462
"SabinePassNTX",0.00538804894948598,4.43287841630895,-0.0108999257279541,0.164307210975197,0.212112811207107
"GalvestonPPier",0.00602652215292847,4.42872199521868,0.366237083203265,0.205763196306791,0.252546819338113
"RockportTX",0.00448249805263807,4.20627302933608,0.151878521024812,0.256665271669291,0.0378249454767353
"CorpusCristiTX",0.00511807049356214,4.61590605971768,0.272714963742804,0.0484695852160744,0.0704752622553199
"PortIsabelTX",0.00463604778852383,4.14094689025844,0.367661228935057,0.0635769067309463,0.155680911694218
"ClearwaterBchFL",0.00668826967639078,4.81238484431195,0.0880875125812843,0.0714716999720431,-0.150706309244888
"PortCanaveralFL",0.0054202836678935,4.05390868005446,0.0425817572981414,0.0744178978630267,0.227138402022688
"GalvestonPier21",0.00583016253324337,4.47455155751064,0.295711787418782,0.352792008230966,-0.0605858934462442
