"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00470434773366494,0.00138128713945757,4.57611898770836,-0.124037643952496,0.0138413817033925,0.0956799707347745
"KeyWestFL",0.00407449889582107,0.00164979609773425,3.71148072593611,0.0679599384447776,0.0262331589921867,0.267162639101373
"PortlandME",0.00491137477904969,0.00361104532264432,4.62487554076951,-0.0175783620699985,0.00415511166153476,-0.048634289990215
"NewportRI",0.00608496410384395,0.00191506133607518,4.80748780854816,-0.208154542969683,-0.0975363003302541,0.230647105442884
"DuckPierNC",0.00460948008665365,0.00176234792725183,4.79364523867757,0.125963095770388,-0.104486399406825,0.0488943803017271
"CharlestonSC",0.00476247609573313,0.00284639284229058,4.10993376000048,0.23133752709567,0.149381887328607,0.108623439147613
"AtlanticCityNJ",0.005762006231936,0.00251084588847744,4.66760294966541,0.0954776616483215,0.0881774576501244,-0.0642647846600286
"MontaukNY",0.00667809218247611,0.00125057460898283,5.09859828898155,-0.0117196712224486,0.140215387893206,-0.218750582401045
"EastportME",0.00457554111298201,0.00359530076182471,4.29095947843137,0.409371540523806,0.148338337811182,-0.259967476264081
"BostonMA",0.00574364132130251,0.00229360900013222,4.57303265840896,-0.0514409546731534,0.0137333977293333,0.289028168011583
"WoodsHoleMA",0.00677048913143706,0.00108350582829907,5.13796238730636,-0.231075995642139,0.025060211620301,-0.0174791312973773
"NantucketMA",0.00531233798025927,0.00255602473794768,4.12806900489715,0.569428219562614,0.111576362889618,0.29262393469107
"NewLondonCT",0.00651834249683674,0.00218290211132467,5.15515360011482,-0.289547188861462,0.18613108199455,-0.117998558269185
"NewYorkNY",0.00484062016613167,0.00446304353305428,5.08990802538291,-0.378219592691761,0.104600837530547,0.0871115215409646
"CapeMayNJ",0.00535521834712803,0.00190121996331386,4.92710776463532,-0.0277570443232349,0.0732724075381323,-0.1969223093078
"LewesDE",0.00591515327980839,0.0017736448084469,4.78525490480023,0.244156134816468,0.0224166478220063,0.0414848592675578
"ChesapeakeBBT",0.00480057878830038,0.00220987042490466,4.70945794123571,0.531977058172721,-0.1485355861838,0.113405889533728
"WilmingtonNC",0.00247239180942073,0.00479714550617447,3.8695864739938,0.545090010190189,0.240544434202888,-0.0507387874202131
"FortPulaskiGA",0.00509485025280716,0.00106822107118537,4.18532707168522,0.247724415040131,-0.0013754021433324,0.183212424632812
"MayportFL",0.00511760199241641,-0.000264222532117492,4.15098188450101,0.0951545664108182,0.0167679320405121,-0.00156741543131832
"VirginiaKeyFL",0.00437432625475497,9.28284591756021e-05,4.05010353528192,0.145808756977164,0.0341780326106525,0.236457943240558
"NaplesFL",0.00563300019338482,0.00223469838377108,4.22217146594275,0.311106353971862,0.0833064437070443,0.137192279993455
"StPetersburgFL",0.00533062431556457,0.00343220316941431,4.26317180251643,0.184854440028951,0.303636135343179,-0.000549096172854085
"ApalachicolaFL",0.00481716730547034,0.00227663611009038,4.41807115455157,0.430363734310014,0.205529581429306,0.274021118860586
"PanamaCityBeach",0.00478668820377425,0.00201302450667071,4.68179520348336,0.215566698201782,0.168914283405494,0.285043002548602
"PensacolaFL",0.00506678550207536,0.00253583068836096,4.08232380413532,0.414780311168834,0.304274564826787,0.177514867627649
"DauphinIslandAL",0.0044751528238943,0.00188620211325694,4.25953373357823,0.263844119535452,0.16198143240711,0.337525281167421
"GrandIsleLA",0.00427686404655616,0.00163467099110053,4.49551972808742,0.169394830062833,0.153392419570975,0.289736394823796
"SabinePassNTX",0.00442250639123207,0.00115465039405483,4.42725953542606,-0.00521437167644231,0.160703211056357,0.218871390909593
"GalvestonPPier",0.00524913178794856,0.00132720503942849,4.43041584568287,0.360816081497578,0.202345243129454,0.253984289933117
"RockportTX",0.00365350819145879,0.00108315868259491,4.20008636822796,0.162606223455747,0.256160283173077,0.0345590383434896
"CorpusCristiTX",0.00434748303548494,0.000803005199353104,4.61247561152024,0.275657739906337,0.0500218957880137,0.0692979325317235
"PortIsabelTX",0.00439792504890828,8.41324906583038e-05,4.13090365808485,0.378396896643875,0.0734222761696663,0.143368431585642
"ClearwaterBchFL",0.00500748633338835,0.00244912322367894,4.81499363750699,0.0874140709663843,0.0716234369948102,-0.152374730471174
"PortCanaveralFL",0.00445022228746077,0.00109919183045616,4.04669873130655,0.0478482348534731,0.080196719044378,0.223158607453382
"GalvestonPier21",0.00473751846007758,0.00232225515960221,4.47685516876806,0.29378393997611,0.354371114997059,-0.0611535108719592
