"","lambda","sigma","xi"
"FernandinaBeach",0.00544411629861339,91.7531209856631,0.0590649371267924
"KeyWestFL",0.00496562287299822,41.6005989557107,0.195180836496868
"PortlandME",0.00663570832887385,100.954930500947,-0.0213013909885254
"NewportRI",0.00706642440511472,108.613290671041,0.0422535931003442
"DuckPierNC",0.00588465342164088,132.173348673092,-0.0549627666877459
"CharlestonSC",0.00621435077957626,69.3182000770648,0.212425872166184
"AtlanticCityNJ",0.0069104933293653,112.039762853386,0.0543596105967881
"MontaukNY",0.00727054419361715,159.118616744176,0.0374978298109075
"EastportME",0.00650043413827557,94.0478509799089,-0.00471707483969709
"BostonMA",0.00685966046889282,95.3023942593892,0.165314317273541
"WoodsHoleMA",0.00731069127134685,147.076813476818,0.0130618560987506
"NantucketMA",0.00684070111931105,94.8766067235446,0.316436241737146
"NewLondonCT",0.00764198353667633,141.897254412698,0.138490979174624
"NewYorkNY",0.00707577005719537,128.261486098926,0.16496430541202
"CapeMayNJ",0.00654394839505683,130.993041986008,-0.0339976122767083
"LewesDE",0.00682412526479286,138.540633344484,0.0470678352477384
"ChesapeakeBBT",0.00623724501504243,161.704259799152,-0.0157383264723886
"WilmingtonNC",0.00527055476891168,71.0057981988136,0.212416757845997
"FortPulaskiGA",0.00576088288414244,75.4425495265934,0.123689338370648
"MayportFL",0.00513387121822466,65.4982325604902,0.0174653807042766
"VirginiaKeyFL",0.00482342999827089,67.4073264151978,0.195647016352822
"NaplesFL",0.00695614963008193,84.6170461039758,0.180459319232387
"StPetersburgFL",0.00722869810100714,81.1509517924102,0.287060978366159
"ApalachicolaFL",0.00632980021763951,122.35282429285,0.367397741209196
"PanamaCityBeach",0.00614767982986396,142.107548922164,0.307219083531806
"PensacolaFL",0.00637328876008977,75.8805339278158,0.394710045183719
"DauphinIslandAL",0.00583097110867691,95.1104969754059,0.351680492096888
"GrandIsleLA",0.0055054695392448,108.016822677937,0.323835027977231
"SabinePassNTX",0.00538642999815711,85.3438111681353,0.293219541040445
"GalvestonPPier",0.0060235804004151,106.950456366601,0.334406259180667
"RockportTX",0.00448158977158356,75.1687443132919,0.259193496912386
"CorpusCristiTX",0.00511725227551693,128.097468409809,0.0911026634016332
"PortIsabelTX",0.00463611081457201,79.3830796889662,0.155085402868229
"ClearwaterBchFL",0.00668580097125835,126.875634652085,-0.0159479943000971
"PortCanaveralFL",0.00542080886009918,62.8619058339865,0.213248657878404
"GalvestonPier21",0.00582993049816209,103.296297393602,0.310880267116536
