"","lambda0","lambda1","sigma","xi"
"FernandinaBeach",0.0048187028591976,0.00102926357078602,91.7533616356874,0.0590636124236248
"KeyWestFL",0.0038388029422892,0.00179630753111708,41.6005484660009,0.195181654737146
"PortlandME",0.00419260728398366,0.00439680498145087,100.956144828408,-0.0213100627875586
"NewportRI",0.00574779188683292,0.00223421542074643,108.613733677178,0.0422511356268363
"DuckPierNC",0.00435284257983472,0.00190623295059066,132.173290796219,-0.0549647132716098
"CharlestonSC",0.00443997656078934,0.00303941001009669,69.3180839251654,0.212425499693037
"AtlanticCityNJ",0.00586394351342968,0.00199123995812032,112.039819708514,0.0543591368565341
"MontaukNY",0.00668096560271776,0.00109020104528431,159.119155192758,0.0374964721249659
"EastportME",0.00385916277073713,0.00420959621929538,94.047113051382,-0.00471264045907269
"BostonMA",0.00534141620146082,0.00265155487735212,95.3028251839807,0.165310473675683
"WoodsHoleMA",0.00668679800225887,0.00111907761232906,147.0769883476,0.0130628448589945
"NantucketMA",0.00498894284282541,0.00263681686806988,94.876947102416,0.316435620129452
"NewLondonCT",0.00641947047800857,0.00213448538915054,141.89800212942,0.138487888944575
"NewYorkNY",0.00447382478128172,0.0044504792618693,128.261463220036,0.164964439788958
"CapeMayNJ",0.00503616464096345,0.00210252511300772,130.993833527062,-0.0340025581103821
"LewesDE",0.00571166442081591,0.00181906604078089,138.540400736048,0.047069847746501
"ChesapeakeBBT",0.00454111149861182,0.00226173583465079,161.704140652236,-0.0157407461851059
"WilmingtonNC",0.00192180880894728,0.00487956826327427,71.0056776629436,0.212414295358428
"FortPulaskiGA",0.00507669763258719,0.000980458818627333,75.4427430809396,0.123683775082182
"MayportFL",0.00545974584554003,-0.000923238382186735,65.4978551250438,0.0174666466272908
"VirginiaKeyFL",0.00417540904060594,0.000232781482675349,67.4076904731147,0.195642283241571
"NaplesFL",0.00521580699915873,0.00252592808702626,84.6173463418422,0.180460267888162
"StPetersburgFL",0.00485554960025947,0.00359843678122638,81.1507485288746,0.287063907066123
"ApalachicolaFL",0.00469338657558257,0.00217688580174693,122.353162554717,0.367394699806972
"PanamaCityBeach",0.00467427676460834,0.00200195701215792,142.107564915181,0.307221681321344
"PensacolaFL",0.00484720964664036,0.00256967039448103,75.880861509347,0.394709076406907
"DauphinIslandAL",0.00430940057916167,0.00188156848358601,95.1105283392855,0.351679821558027
"GrandIsleLA",0.00428255101185131,0.00138958258607252,108.016288948558,0.32383734787199
"SabinePassNTX",0.00431920043219663,0.00111161626945014,85.3436307506712,0.293219749127987
"GalvestonPPier",0.00501843250657362,0.00143168857256895,106.949992827194,0.334407627169139
"RockportTX",0.00343716268581623,0.00113492630977817,75.1676602281652,0.259200338913934
"CorpusCristiTX",0.00428734698216169,0.00071192001187212,128.098061913997,0.0911025850243392
"PortIsabelTX",0.00457686605232317,-0.000246335104364343,79.3830447224941,0.155092938037077
"ClearwaterBchFL",0.00486674234442601,0.00259172535969263,126.876278434771,-0.0159513722230847
"PortCanaveralFL",0.00422500717937124,0.00122249080081889,62.8620352719374,0.213246080583265
"GalvestonPier21",0.00472637302911609,0.00203460524993616,103.296094409694,0.310880096276795
