"","lambda","sigma0","sigma1","xi"
"FernandinaBeach",0.0054442082498931,4.59397938261899,-0.141610136260369,0.0596685622566483
"KeyWestFL",0.00496563456945264,3.67626221234108,0.11715471056624,0.184222213214612
"PortlandME",0.00663582135133033,4.67200907737568,-0.0867156425465939,-0.0231224486641225
"NewportRI",0.00706667914180952,4.66232545687416,0.0447357966091908,0.0389728802858488
"DuckPierNC",0.00588466973402526,4.79519649158222,0.113557543766348,-0.0607744595923982
"CharlestonSC",0.0062143261188085,4.15678097620781,0.13749413781935,0.208166089958592
"AtlanticCityNJ",0.00691029721802884,4.63357873996138,0.149693568386689,0.0499651120943277
"MontaukNY",0.00727049569717032,5.08608255796225,-0.0151080442547183,0.0346960223726765
"EastportME",0.00650040473750152,4.32115100890759,0.306499858438878,-0.00482063155053552
"BostonMA",0.00685943179684545,4.50783788404777,0.0892976222036704,0.158720525544438
"WoodsHoleMA",0.00731075910989697,5.02132729261069,-0.0335660372302983,0.010329749781062
"NantucketMA",0.006840866568919,4.29104938618864,0.33398275265506,0.303960779298222
"NewLondonCT",0.00764216403351346,5.10805330190848,-0.210492225428953,0.129353834533516
"NewYorkNY",0.00707589331562474,4.97492031665246,-0.177933693690138,0.163153567052751
"CapeMayNJ",0.00654399456492519,4.82412282578008,0.069869795475568,-0.0372084910884217
"LewesDE",0.00682422724941596,4.76144372618099,0.253646351626874,0.0383660911781952
"ChesapeakeBBT",0.00623736310965934,4.87420373417859,0.275864113701142,-0.0371099179752116
"WilmingtonNC",0.00527052312170924,4.05429511954644,0.268493590922775,0.203556506455657
"FortPulaskiGA",0.00576092518087971,4.19328198961105,0.20581329036173,0.114997468757006
"MayportFL",0.00513376540334443,4.22096359469616,-0.0574654657436449,0.0134972492549993
"VirginiaKeyFL",0.00482332746812181,4.18002748566646,0.0764044859190972,0.180940501670007
"NaplesFL",0.00695623836201854,4.25133264103679,0.247009468513683,0.168484387488459
"StPetersburgFL",0.00722869224046431,4.27320471730348,0.172903366543883,0.281313481164826
"ApalachicolaFL",0.00632979772554739,4.60199399065615,0.257526033109349,0.357012460627849
"PanamaCityBeach",0.00614772147263962,4.87220072473348,0.12357189781196,0.298094197528909
"PensacolaFL",0.00637330499227599,4.1243284136841,0.331485059248136,0.382271509882196
"DauphinIslandAL",0.00583091237382351,4.43595265927695,0.157966523946374,0.341750343039491
"GrandIsleLA",0.00550550749047587,4.5454192955491,0.177734094366992,0.314467289332871
"SabinePassNTX",0.0053864041486575,4.42183290935538,0.0412957920554933,0.290712541858908
"GalvestonPPier",0.00602359549004271,4.53376370313966,0.199482853010628,0.329495121313596
"RockportTX",0.00448156742164391,4.26282362745165,0.0898453194983879,0.254467147912971
"CorpusCristiTX",0.00511714877822531,4.74200867901785,0.145483420097213,0.0817644117472185
"PortIsabelTX",0.00463610086839712,4.25140810839143,0.190397808595836,0.146599650611491
"ClearwaterBchFL",0.00668582928866009,4.75193298273314,0.111360777167033,-0.0225052637046063
"PortCanaveralFL",0.00542082556794095,4.14114587685765,0.0378576605529005,0.200150106719585
"GalvestonPier21",0.0058298650790666,4.53047686492121,0.180840202907151,0.314066931245234
