"","lambda","sigma","xi0","xi1"
"FernandinaBeach",0.00544410465664957,92.2688436164377,0.0375848357326288,0.0326899782303759
"KeyWestFL",0.00496561665546122,41.6141254821857,0.0281392802413076,0.254349157717875
"PortlandME",0.00663569922759306,101.31617906435,-0.0248691388164186,0.00015664802361348
"NewportRI",0.0070664076036034,109.279209025891,-0.115516955725647,0.216367238125164
"DuckPierNC",0.00588464520848691,132.257896534222,-0.117373960533886,0.0694548047270491
"CharlestonSC",0.00621435459662114,69.0646153655971,0.10849903685534,0.165849838926458
"AtlanticCityNJ",0.00691049361336457,112.18960102435,-0.0385421140432704,0.147981869005702
"MontaukNY",0.00727052921975205,161.110259600529,0.0828171127281138,-0.0873598908001556
"EastportME",0.00650043958507119,94.0591571127135,-0.0373277081791472,0.0442079057969261
"BostonMA",0.00685965631785188,95.1178483370973,-0.00650213544907386,0.261550497846303
"WoodsHoleMA",0.00731069465834484,147.362948526301,-0.0201614526051552,0.0430359315158295
"NantucketMA",0.00684070876914733,92.2254452067604,0.0514146511700658,0.339609504936085
"NewLondonCT",0.00764197022866885,143.05105931328,0.162333113975378,-0.0510050530295648
"NewYorkNY",0.00707577451114808,129.247407395627,0.0892320946361927,0.106549765122745
"CapeMayNJ",0.00654395759916435,131.523859637588,-0.0562762464108049,0.0230199063842596
"LewesDE",0.0068241341635347,137.556558444278,-0.0535833579256649,0.147762965764986
"ChesapeakeBBT",0.00623724723070822,160.373484014526,-0.135868770780282,0.140874286395343
"WilmingtonNC",0.00527054410750157,69.3714927137616,0.0945532295315807,0.170960484100258
"FortPulaskiGA",0.00576088147912011,75.4582950928663,-0.00984930924294017,0.185244671046853
"MayportFL",0.00513386596913001,65.6394781559334,0.00224717123767284,0.0250702351147977
"VirginiaKeyFL",0.00482343364024608,63.0225956681024,0.0416896648559733,0.230235590691107
"NaplesFL",0.00695614333512377,83.330047965404,-0.0100677697929015,0.241947922182617
"StPetersburgFL",0.00722869375629284,79.1073590310243,0.147712244002237,0.218091383317187
"ApalachicolaFL",0.00632980479682931,115.904504766313,0.145182515619168,0.320188629098312
"PanamaCityBeach",0.00614767601961494,131.518064926855,0.142008210106937,0.275433050689978
"PensacolaFL",0.0063732844373872,73.9066119153517,0.268394583549565,0.232132645158808
"DauphinIslandAL",0.00583096637521795,87.6785373466639,0.144319529965118,0.321149623319601
"GrandIsleLA",0.00550546680659403,102.102536007408,0.1092103896605,0.306341719706175
"SabinePassNTX",0.00538642151692844,83.4142402051859,0.0950307576293498,0.258961766097402
"GalvestonPPier",0.00602358936716298,104.042856690177,0.171045674398959,0.261694050351954
"RockportTX",0.00448158971787158,72.7837683986546,0.150959225497754,0.187708450190568
"CorpusCristiTX",0.00511725205284158,125.03030263232,-0.01072341323221,0.142045712404824
"PortIsabelTX",0.00463611352860433,77.7940469264728,0.0404379170209384,0.183846906931924
"ClearwaterBchFL",0.00668580056540803,126.452635501353,-0.0650003262743395,0.0567367367104985
"PortCanaveralFL",0.00542080730523937,58.7543628111318,0.0653779148481001,0.226033492155808
"GalvestonPier21",0.00582993869014958,103.093225090517,0.283767123606791,0.0534040692777206
