"","lambda0","lambda1","sigma0","sigma1","xi"
"FernandinaBeach",0.00481870784633591,0.00103075376670513,4.59443356871302,-0.141706930391619,0.0588745749725096
"KeyWestFL",0.00383868557339001,0.00180047837702724,3.67612215331926,0.116603458953411,0.185896995308998
"PortlandME",0.00418465248896734,0.00440414952007674,4.67226792735141,-0.0863699284804557,-0.0232134890158902
"NewportRI",0.00573670562734951,0.00224650326112755,4.66221560376557,0.0442723300189687,0.0390557317604021
"DuckPierNC",0.0043487333410583,0.00191068084436788,4.79610900782709,0.112908996529987,-0.0608569651145371
"CharlestonSC",0.00444281382254547,0.00303465710778728,4.15687975296721,0.136123654824934,0.208304817384983
"AtlanticCityNJ",0.00586651294667538,0.00198471498734221,4.63377528301373,0.148411380134354,0.0504247774811744
"MontaukNY",0.0066899586977582,0.0010753041715009,5.08519281529389,-0.0139309951416998,0.0350026453069404
"EastportME",0.00385766767487252,0.0042058833130181,4.32087163541045,0.30704483616726,-0.00488421592020438
"BostonMA",0.00533631658275881,0.00266017824484983,4.50743831964077,0.0903626531924458,0.159066387704251
"WoodsHoleMA",0.00668782840301469,0.00111739889066066,5.01935035327207,-0.0309625175688423,0.01059010170536
"NantucketMA",0.00497943744452025,0.00265182118153004,4.29103388151397,0.334252418793746,0.304078561487484
"NewLondonCT",0.00642201392245667,0.00212865559179866,5.1081038048282,-0.210624179121307,0.129908261668631
"NewYorkNY",0.00446845653013854,0.00445812793328543,4.97471767885891,-0.176863559539664,0.162860770758934
"CapeMayNJ",0.00504247194785083,0.00209694227772489,4.82375379228718,0.0687746683126885,-0.036582837720628
"LewesDE",0.00571028043524841,0.00182192596808024,4.76152314133187,0.254279856595396,0.038165076294551
"ChesapeakeBBT",0.00453555613065432,0.00227233261668079,4.87307499463507,0.276440300441934,-0.0369242894009832
"WilmingtonNC",0.00191692596722805,0.0048820976193227,4.05624551065972,0.267440365332514,0.202962639917268
"FortPulaskiGA",0.00508460887241715,0.000967698964260823,4.19275721327321,0.204624139758822,0.114884214336165
"MayportFL",0.00545127302978472,-0.000907997581136795,4.2214596569637,-0.05807844428564,0.0130439630898818
"VirginiaKeyFL",0.00417258253189995,0.000235461007907778,4.18003378248343,0.0761734590505254,0.181225352719841
"NaplesFL",0.00520960306289239,0.00253192410626303,4.25189139497026,0.24615466403135,0.16906898480159
"StPetersburgFL",0.00485641790494091,0.00359486193751522,4.27262496368833,0.172835265292516,0.281722002631912
"ApalachicolaFL",0.00469328127052188,0.00217728350667821,4.60250556765276,0.256640942347992,0.357840127511725
"PanamaCityBeach",0.00467982572920334,0.00199622471458656,4.87248717215359,0.123309998837501,0.298374532841962
"PensacolaFL",0.00484495458359685,0.00257200936890441,4.1250646778048,0.330879494963229,0.382419631281754
"DauphinIslandAL",0.00430768689373056,0.00188209375873207,4.43555450495896,0.158877695890802,0.341855982317861
"GrandIsleLA",0.00427968364796009,0.00139584399137876,4.54475576138383,0.178282822902003,0.314617832615897
"SabinePassNTX",0.00431580913551373,0.00111293057477958,4.42241871063404,0.0417353723389467,0.290884693120976
"GalvestonPPier",0.00501245240117229,0.00144131799872386,4.53515332491575,0.198946333454698,0.329661788884937
"RockportTX",0.00344143591755384,0.00113352276051619,4.26372821998658,0.0888998768292909,0.254606727897792
"CorpusCristiTX",0.00428912760947334,0.000712205024106035,4.74416940810959,0.143461891831363,0.0815357950168205
"PortIsabelTX",0.00458133146475736,-0.000252956847340193,4.2513289985893,0.190979798289806,0.146373397341255
"ClearwaterBchFL",0.00487162634513339,0.00258903800577092,4.75137094235008,0.111926343030971,-0.0222558611221667
"PortCanaveralFL",0.00422209192818253,0.00122374814268479,4.14245038438433,0.0371720713615708,0.200299890407302
"GalvestonPier21",0.00471962035306851,0.00204422743647888,4.52887400303011,0.181737004051721,0.314451163702225
