"","lambda0","lambda1","sigma","xi0","xi1"
"FernandinaBeach",0.00481855410486004,0.00102957526587785,92.2606489150246,0.0375001313293714,0.0327797508266331
"KeyWestFL",0.00383951272944156,0.00179578011130914,41.6141633864241,0.0280317675183355,0.25438663062902
"PortlandME",0.00419348983126933,0.00439555421729492,101.336798929034,-0.0248587203556497,7.94192608916177e-05
"NewportRI",0.00574726656430906,0.00223468355075931,109.275838197096,-0.115578437169409,0.216496698317029
"DuckPierNC",0.0043527735192856,0.00190529211649271,132.245618334114,-0.117431459542189,0.0695158274887648
"CharlestonSC",0.00443964873227125,0.00304015218062057,69.0551495396367,0.108490925776954,0.165841848856452
"AtlanticCityNJ",0.00586292898690672,0.00199275260642885,112.210298330448,-0.0385869027421318,0.147800356273007
"MontaukNY",0.00668082498731635,0.00109085930687531,161.083822062819,0.0827089500700157,-0.0872254529396428
"EastportME",0.00386052387973583,0.00420747768694733,94.0659760099485,-0.0374061173869403,0.0442920589982683
"BostonMA",0.00534201177703688,0.00265144051880796,95.1080340378274,-0.0063550292057372,0.261386285991144
"WoodsHoleMA",0.0066859216152569,0.00112005266930878,147.341977399571,-0.0201992249453004,0.0431273134783431
"NantucketMA",0.00498762841516524,0.00263729347722604,92.238296803482,0.0513121490183525,0.339682311014302
"NewLondonCT",0.00641867757938104,0.00213551491497709,143.061107159874,0.16239477153487,-0.0511239391985096
"NewYorkNY",0.00447471612513656,0.00444965426623425,129.24893751141,0.0893519715104313,0.106271715096866
"CapeMayNJ",0.00503575482298292,0.00210391850521793,131.538140656459,-0.0562969216808697,0.0230160912946426
"LewesDE",0.00571220463968967,0.00181763352432232,137.569470293672,-0.0535805001275341,0.14764856730981
"ChesapeakeBBT",0.00454131764417695,0.00226216024488924,160.379742933484,-0.135756553627849,0.140748656075684
"WilmingtonNC",0.00192201009135476,0.00487881356705995,69.3663375468059,0.0946062557993898,0.170794264141436
"FortPulaskiGA",0.00507620422482185,0.000981196044360548,75.4578683619096,-0.00981179564260842,0.185153923238193
"MayportFL",0.00545980268823015,-0.000923083975946013,65.6350102130928,0.00234584375683023,0.0250139156473797
"VirginiaKeyFL",0.00417527940591327,0.000232185806752281,63.0285534757734,0.0416686694769178,0.230172918175753
"NaplesFL",0.00521679346084976,0.00252583855441178,83.3198860720707,-0.00991917021265599,0.241823945485342
"StPetersburgFL",0.00485630110184256,0.00359782964509593,79.1130212342415,0.147793046744383,0.217947962591446
"ApalachicolaFL",0.00469338529300457,0.0021765862286846,115.910097084879,0.145204915449531,0.320105796939514
"PanamaCityBeach",0.00467527155396925,0.00200111836391496,131.552472060378,0.142082358868846,0.275251400588691
"PensacolaFL",0.00484724850103382,0.00256926030368811,73.9053825576629,0.268430031882026,0.232148274633035
"DauphinIslandAL",0.00431045495773185,0.00188078755191259,87.6734405189694,0.144402455659192,0.321151080479299
"GrandIsleLA",0.00428322351321134,0.00138820660626311,102.127756764836,0.109198269696197,0.306270558905842
"SabinePassNTX",0.00431860277375116,0.00111272508684503,83.4229608664873,0.0950479424605933,0.258867041465225
"GalvestonPPier",0.00501847752186761,0.00143201798092284,104.044891649755,0.171155986314053,0.261645828977363
"RockportTX",0.00343769858731228,0.0011344772978941,72.7716139548064,0.150892461260892,0.187809569691824
"CorpusCristiTX",0.00428696893740717,0.000712079063587119,125.025425603365,-0.0108515231131086,0.142186116207534
"PortIsabelTX",0.00457597608066042,-0.00024602847800551,77.8128244227728,0.0403609198699058,0.183887950721151
"ClearwaterBchFL",0.00486701833728624,0.00259038368446525,126.444009024024,-0.0649690118476995,0.0567343722495881
"PortCanaveralFL",0.00422515445404912,0.00122209302724718,58.75233183893,0.0653625603288995,0.225982791477361
"GalvestonPier21",0.00472600507357879,0.00203513472791748,103.080949704934,0.283825780798135,0.0534132591980681
