"","lambda","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00544475523494716,4.70193022830996,-0.344753481726274,-0.0174724509387374,0.137847926985417
"KeyWestFL",0.00496567707315502,3.73186164963267,0.00852949441679959,-0.000163294667118866,0.302781170518135
"PortlandME",0.00663510098361596,4.72696733558074,-0.174475305718481,-0.0522868065600566,0.0467033747420699
"NewportRI",0.00706296842066518,4.77244005411255,-0.120323586635961,-0.180002035918897,0.313356051352367
"DuckPierNC",0.00588666016569148,4.76705441499848,0.146950847566674,-0.09934316930802,0.0429322391471145
"CharlestonSC",0.00621476337635506,4.17492143967807,0.091624066963858,0.133748841198186,0.135491141659846
"AtlanticCityNJ",0.00690812064270294,4.6515620096397,0.115845916853325,-0.0158659480653591,0.11192786100711
"MontaukNY",0.00726905599057806,5.08182061230951,0.0117527884760435,0.154485197296467,-0.197487865117014
"EastportME",0.00650091240957848,4.1900354655653,0.490852947806603,0.0923085303868443,-0.140788083757031
"BostonMA",0.00685945989377333,4.63000277421776,-0.131067086260173,-0.0628612206427164,0.36420157927723
"WoodsHoleMA",0.00731135094328437,5.10628242381927,-0.147848181505355,0.00517456361902779,0.00826566674659833
"NantucketMA",0.00683839938884968,4.09737411978526,0.532584698098012,-0.0213564090590728,0.420300250908303
"NewLondonCT",0.00764272170651956,5.22216765615929,-0.371785631448169,0.174836317967755,-0.0734066409934752
"NewYorkNY",0.00707739044781672,5.13812223477871,-0.412551971798425,0.0267587205742745,0.19430588652143
"CapeMayNJ",0.00654914639337707,4.8398481170216,0.063275283008487,0.00682985335284844,-0.066054540061642
"LewesDE",0.00682193419531825,4.71193105881781,0.317963494059682,0.00170038150393263,0.059511820818973
"ChesapeakeBBT",0.00623749172783159,4.69842327566139,0.484879478383637,-0.168611329989543,0.140492892423007
"WilmingtonNC",0.00527344324228141,3.91396036664176,0.411938714628673,0.149343184737671,0.0956739631013025
"FortPulaskiGA",0.0057582958951993,4.20457750194957,0.180993583018827,0.00677840327010609,0.162162089009665
"MayportFL",0.00513161622003515,4.28072646835606,-0.174086110728553,0.0309778039799794,-0.0312838333782578
"VirginiaKeyFL",0.00482224809918382,4.10729021772737,0.0368186143133381,0.0236478848906219,0.282999568720696
"NaplesFL",0.00695539304939505,4.13226543424681,0.36821444031033,-0.0403445003067859,0.273203712897283
"StPetersburgFL",0.00722809353480598,4.22294125889487,0.187574956219778,0.175176982600385,0.196970449763218
"ApalachicolaFL",0.00632998153975546,4.37970797369736,0.423941982915639,0.103084756703943,0.396677088226364
"PanamaCityBeach",0.00614785927342132,4.72519268918325,0.137910853371424,0.131950428063387,0.35153222140065
"PensacolaFL",0.00637351011862295,4.03449326743035,0.42326439698563,0.335711544565738,0.126470488086978
"DauphinIslandAL",0.00583162332114222,4.27377028165334,0.197829756325279,0.104868447205842,0.41830019017092
"GrandIsleLA",0.00550610521123799,4.39795728218041,0.250559917004718,0.0600936517867615,0.392731120555627
"SabinePassNTX",0.00538648930692126,4.43186959784493,-0.0185116166278237,0.0702610898488181,0.315005744567134
"GalvestonPPier",0.00602302005187995,4.42347022610612,0.290433744790133,0.167666709946002,0.292699145900578
"RockportTX",0.00448039440381628,4.22113478125444,0.0777759938481468,0.174880120140522,0.180161747127459
"CorpusCristiTX",0.00511733507961196,4.6497047868659,0.212602474799774,-0.00133668105848902,0.134007295784455
"PortIsabelTX",0.00463642453663121,4.18657665034082,0.244161961137637,0.0552566600892699,0.164926023843879
"ClearwaterBchFL",0.0066872139466069,4.7213508670015,0.146926142297644,-0.0198326522912828,-0.00451432953058332
"PortCanaveralFL",0.00542050697382448,4.09822148135423,-0.0350300320589877,0.0566946472153898,0.270870144201775
"GalvestonPier21",0.00582944648167039,4.45546618930628,0.290540124855463,0.391410702287722,-0.116465150076223
