"","lambda0","lambda1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",0.00481778186846684,0.0010449835296225,4.69618944021334,-0.339399881248794,-0.0154099010808171,0.135454902507308
"KeyWestFL",0.00381462998510764,0.00184007028810022,3.72357978780129,0.021428283133935,0.00364577939483027,0.297196694752822
"PortlandME",0.00413454058293906,0.00448997098095664,4.7246846628145,-0.172687125519277,-0.0499202595725306,0.0429834230384972
"NewportRI",0.00566606589747467,0.00229676963655658,4.77190149769812,-0.119148842953609,-0.169022737112314,0.301216160089861
"DuckPierNC",0.00434609033071558,0.00189050334027721,4.78025718581246,0.131834973011889,-0.114253186908282,0.0583133506773979
"CharlestonSC",0.00440389544066044,0.00307589776544536,4.17066309622462,0.0972379031084965,0.13244479273036,0.136245100234465
"AtlanticCityNJ",0.00583065227273536,0.00204737890926294,4.65529394619839,0.104626642949422,-0.0201563126648216,0.123864719899966
"MontaukNY",0.00675686905623091,0.00103678040108533,5.08858680661088,0.00449694095788737,0.145001410658268,-0.185875540240782
"EastportME",0.00389399613625688,0.00411016831309734,4.20401214843709,0.471725694903657,0.0828248537891545,-0.122941714221854
"BostonMA",0.00534821011038307,0.00269442670349445,4.64619651358075,-0.148639966000836,-0.068286433268381,0.37074575592473
"WoodsHoleMA",0.00668674400631677,0.00112066985360658,5.11652466950116,-0.161887310900322,-0.000691647187284369,0.0115730417453406
"NantucketMA",0.00497599439557488,0.00263519340848978,4.11426332124208,0.513607975408672,-0.0187423152692169,0.417910729632702
"NewLondonCT",0.00640536231672486,0.00215308392197142,5.223599142862,-0.380186670013566,0.176069160143492,-0.0710281679127751
"NewYorkNY",0.00442910923649901,0.00451031443931867,5.14507501872979,-0.41283098620241,0.0303167421802115,0.18652084537984
"CapeMayNJ",0.00500813411279909,0.00214649119032445,4.82976986655683,0.0663491480673889,0.0115616080530752,-0.0698053340694807
"LewesDE",0.00573643007483667,0.00181867376756408,4.7196356642887,0.309058855926818,-0.00782177284462097,0.0686244543225687
"ChesapeakeBBT",0.0045260067473251,0.00225922994433604,4.72297420659189,0.457068529091736,-0.170924822987428,0.144135844131814
"WilmingtonNC",0.00187932009262308,0.0049306892217005,3.93666312058067,0.386254596303593,0.141425057656135,0.103998762120708
"FortPulaskiGA",0.00511246084843706,0.000988126947548339,4.21017018744427,0.173177607276994,0.0068057188452668,0.164507152448624
"MayportFL",0.00546890783647017,-0.000918152652840323,4.2843828408233,-0.179034510378761,0.0344416556138549,-0.0343495680978709
"VirginiaKeyFL",0.0041610818507517,0.000250675238402852,4.11496460064757,0.0354465777265701,0.0321212056241984,0.26947497446456
"NaplesFL",0.00513574050837029,0.0026358176602682,4.16215857609113,0.337406538171213,-0.0436639361262356,0.275734464894266
"StPetersburgFL",0.00484194008493589,0.00360000166454391,4.22391424728409,0.175907974650745,0.166987757773978,0.214610281189133
"ApalachicolaFL",0.00467024316960449,0.0021958139299898,4.37221546853031,0.429847939368198,0.10343415428071,0.395295820400304
"PanamaCityBeach",0.00465056305885764,0.00203335238415518,4.73003283579048,0.135594015168072,0.131598595957212,0.348361976810742
"PensacolaFL",0.00480876001881495,0.00262323461288152,4.0388630600138,0.418822603465562,0.331163329633372,0.130928648470199
"DauphinIslandAL",0.00428709961686784,0.00190539708248277,4.2610687309684,0.213404258552571,0.115446768749983,0.39931284245535
"GrandIsleLA",0.00426422897330551,0.00141097417880821,4.40792579839374,0.241800782353672,0.0644400804465328,0.387841626623439
"SabinePassNTX",0.00433031494324091,0.00111702042348264,4.42986014720598,-0.0135599345867303,0.0730326394120736,0.315339885043566
"GalvestonPPier",0.00497548142079567,0.00149355229812637,4.44103366304237,0.268571948178662,0.16105605509571,0.297698709235853
"RockportTX",0.00344379838795058,0.0011494615265767,4.23604821147186,0.0667024324156476,0.174678479298479,0.176995845951849
"CorpusCristiTX",0.00427520548709902,0.000713954054080302,4.64228531815714,0.21423575944396,-0.00418537803352916,0.140442424194889
"PortIsabelTX",0.00456235748126891,-0.000202207492422021,4.183877776417,0.253079503137336,0.0526087881554437,0.168400100506618
"ClearwaterBchFL",0.00479718873810166,0.00268584064674864,4.71817184920544,0.148189308392079,-0.0241693977532862,-0.000692955897231502
"PortCanaveralFL",0.00418880232504005,0.00127035856777447,4.09919010608101,-0.0275093335020879,0.0588109416888191,0.263530873376788
"GalvestonPier21",0.00472299710573646,0.00203322286774127,4.45886507894771,0.287160198906829,0.391289688357977,-0.113772768591183
