"","x"
"mu0.type","gamma"
"mu0.shape","2.62719311745037"
"mu0.rate","0.0015685799208506"
"mu1.type","normal"
"mu1.mean","-50.819702149189"
"mu1.sd","65.5252557719895"
"sigma0.type","gamma"
"sigma0.shape","40.0153404415438"
"sigma0.rate","8.42086636087364"
"sigma1.type","normal"
"sigma1.mean","-0.041570417044128"
"sigma1.sd","0.837056991512038"
"xi0.type","normal"
"xi0.mean","-0.126210998197022"
"xi0.sd","0.663236482809163"
"xi1.type","normal"
"xi1.mean","-0.0135644709931097"
"xi1.sd","0.869195522475668"
