"","x"
"mu0.type","gamma"
"mu0.shape","2.47241878827391"
"mu0.rate","0.00151283577883773"
"mu1.type","normal"
"mu1.mean","28.2786079860227"
"mu1.sd","53.3209414412192"
"sigma0.type","gamma"
"sigma0.shape","31.1665136440936"
"sigma0.rate","6.58145487191329"
"sigma1.type","normal"
"sigma1.mean","-0.0662591003379215"
"sigma1.sd","0.63810822372735"
"xi0.type","normal"
"xi0.mean","-0.182327448343217"
"xi0.sd","0.410756911479247"
"xi1.type","normal"
"xi1.mean","0.164382771756621"
"xi1.sd","0.605187607579194"
