"","x"
"mu0.type","gamma"
"mu0.shape","2.48579050413457"
"mu0.rate","0.00152566185472072"
"mu1.type","normal"
"mu1.mean","31.1601943567924"
"mu1.sd","45.2314434709648"
"sigma0.type","gamma"
"sigma0.shape","32.7866507416172"
"sigma0.rate","6.94634417178383"
"sigma1.type","normal"
"sigma1.mean","0.00592745423941246"
"sigma1.sd","0.566254837365103"
"xi0.type","normal"
"xi0.mean","-0.114592111547648"
"xi0.sd","0.327488506713066"
"xi1.type","normal"
"xi1.mean","-0.00595206662198063"
"xi1.sd","0.47752131120204"
