"","x"
"mu0.type","gamma"
"mu0.shape","2.47304514203657"
"mu0.rate","0.00152043010803682"
"mu1.type","normal"
"mu1.mean","32.2489683526939"
"mu1.sd","61.6098515100151"
"sigma0.type","gamma"
"sigma0.shape","26.5135250093212"
"sigma0.rate","5.59040132301972"
"sigma1.type","normal"
"sigma1.mean","-0.0692885658088524"
"sigma1.sd","0.68979398647202"
"xi0.type","normal"
"xi0.mean","-0.210067945611005"
"xi0.sd","0.443879341086396"
"xi1.type","normal"
"xi1.mean","0.173454415879023"
"xi1.sd","0.566318449046588"
