"","x"
"lambda0.type","gamma"
"lambda0.shape","11.7553777309791"
"lambda0.rate","1806.59154239654"
"lambda1.type","normal"
"lambda1.mean","-0.00134053380897395"
"lambda1.sd","0.00267995257430536"
"sigma0.type","gamma"
"sigma0.shape","40.2840944016958"
"sigma0.rate","8.81202434417973"
"sigma1.type","normal"
"sigma1.mean","0.168935935186175"
"sigma1.sd","0.728977949852845"
"xi0.type","normal"
"xi0.mean","-0.0150995362022931"
"xi0.sd","0.438459159313531"
"xi1.type","normal"
"xi1.mean","-0.118308973758481"
"xi1.sd","0.654461844895746"
