"","x"
"lambda0.type","gamma"
"lambda0.shape","14.8619678921021"
"lambda0.rate","2933.61537717356"
"lambda1.type","normal"
"lambda1.mean","0.00146749644797326"
"lambda1.sd","0.00235563638738964"
"sigma0.type","gamma"
"sigma0.shape","44.5585473135644"
"sigma0.rate","9.68525171022908"
"sigma1.type","normal"
"sigma1.mean","0.164603237824614"
"sigma1.sd","0.509598461270556"
"xi0.type","normal"
"xi0.mean","-0.0604916307349458"
"xi0.sd","0.274994508507098"
"xi1.type","normal"
"xi1.mean","-0.0568842453836453"
"xi1.sd","0.459812212995638"
