"","x"
"lambda0.type","gamma"
"lambda0.shape","16.968068539219"
"lambda0.rate","3355.80312021865"
"lambda1.type","normal"
"lambda1.mean","0.00141162647227182"
"lambda1.sd","0.0019776730330796"
"sigma0.type","gamma"
"sigma0.shape","47.9560712342083"
"sigma0.rate","10.4007450508512"
"sigma1.type","normal"
"sigma1.mean","0.126503199228274"
"sigma1.sd","0.455657650981256"
"xi0.type","normal"
"xi0.mean","-0.0481586643840742"
"xi0.sd","0.262180321856547"
"xi1.type","normal"
"xi1.mean","-0.0657145667013386"
"xi1.sd","0.374486852094033"
