"","x"
"lambda0.type","gamma"
"lambda0.shape","11.8411339899321"
"lambda0.rate","2408.98532174935"
"lambda1.type","normal"
"lambda1.mean","0.00142923047545016"
"lambda1.sd","0.00223225358037538"
"sigma0.type","gamma"
"sigma0.shape","42.9818594739536"
"sigma0.rate","9.32830996277987"
"sigma1.type","normal"
"sigma1.mean","0.118011002517995"
"sigma1.sd","0.487414367162615"
"xi0.type","normal"
"xi0.mean","-0.0832737598003433"
"xi0.sd","0.300193603519874"
"xi1.type","normal"
"xi1.mean","-0.00602340666386767"
"xi1.sd","0.434273381914696"
